rodada,adv,equipe_contraAvgpontuacao,equipe_contraLastpontuacao,equipe_contraAvgMov5pontuacao,equipe_contraAvgMov10pontuacao,equipe_contraAvgDS,equipe_contraLastDS,equipe_contraAvgMov5DS,equipe_contraAvgMov10DS,equipe_contraAvgFC,equipe_contraLastFC,equipe_contraAvgMov5FC,equipe_contraAvgMov10FC,equipe_contraAvgFF,equipe_contraLastFF,equipe_contraAvgMov5FF,equipe_contraAvgMov10FF,equipe_contraAvgFS,equipe_contraLastFS,equipe_contraAvgMov5FS,equipe_contraAvgMov10FS,equipe_contraAvgCA,equipe_contraLastCA,equipe_contraAvgMov5CA,equipe_contraAvgMov10CA,equipe_contraAvgFD,equipe_contraLastFD,equipe_contraAvgMov5FD,equipe_contraAvgMov10FD,equipe_contraAvgFT,equipe_contraLastFT,equipe_contraAvgMov5FT,equipe_contraAvgMov10FT,equipe_contraAvgG,equipe_contraLastG,equipe_contraAvgMov5G,equipe_contraAvgMov10G,equipe_contraAvgDE,equipe_contraLastDE,equipe_contraAvgMov5DE,equipe_contraAvgMov10DE,equipe_contraAvgGS,equipe_contraLastGS,equipe_contraAvgMov5GS,equipe_contraAvgMov10GS,equipe_contraAvgGC,equipe_contraLastGC,equipe_contraAvgMov5GC,equipe_contraAvgMov10GC,equipe_contraAvgI,equipe_contraLastI,equipe_contraAvgMov5I,equipe_contraAvgMov10I,equipe_contraAvgSG,equipe_contraLastSG,equipe_contraAvgMov5SG,equipe_contraAvgMov10SG,equipe_contraAvgA,equipe_contraLastA,equipe_contraAvgMov5A,equipe_contraAvgMov10A,equipe_contraAvgV,equipe_contraLastV,equipe_contraAvgMov5V,equipe_contraAvgMov10V,equipe_contraAvgPS,equipe_contraLastPS,equipe_contraAvgMov5PS,equipe_contraAvgMov10PS,equipe_contraAvgPC,equipe_contraLastPC,equipe_contraAvgMov5PC,equipe_contraAvgMov10PC,equipe_contraAvgCV,equipe_contraLastCV,equipe_contraAvgMov5CV,equipe_contraAvgMov10CV,equipe_contraAvgDP,equipe_contraLastDP,equipe_contraAvgMov5DP,equipe_contraAvgMov10DP,equipe_contraAvgPP,equipe_contraLastPP,equipe_contraAvgMov5PP,equipe_contraAvgMov10PP
1,América-MG,113.69,113.69,113.69,113.69,12.0,12.0,12.0,12.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,2.0,23.0,23.0,23.0,23.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2,América-MG,113.69,113.69,113.69,113.69,12.0,12.0,12.0,12.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,2.0,23.0,23.0,23.0,23.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
3,América-MG,108.02,102.35,108.02,108.02,12.5,13.0,12.5,12.5,13.5,18.0,13.5,13.5,5.5,9.0,5.5,5.5,17.5,12.0,17.5,17.5,3.5,5.0,3.5,3.5,3.5,3.0,3.5,3.5,0.5,0.0,0.5,0.5,3.0,3.0,3.0,3.0,4.5,7.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,6.5,6.0,6.5,6.5,2.5,2.0,2.5,2.5,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5
4,América-MG,94.49,67.44,94.49,94.49,14.33,18.0,14.33,14.33,15.33,19.0,15.33,15.33,4.67,3.0,4.67,4.67,16.33,14.0,16.33,16.33,3.33,3.0,3.33,3.33,3.33,3.0,3.33,3.33,0.33,0.0,0.33,0.33,3.0,3.0,3.0,3.0,4.67,5.0,4.67,4.67,0.67,2.0,0.67,0.67,0.0,0.0,0.0,0.0,1.33,0.0,1.33,1.33,4.33,0.0,4.33,4.33,2.33,2.0,2.33,2.33,1.0,1.0,1.0,1.0,0.67,1.0,0.67,0.67,0.0,0.0,0.0,0.0,0.33,1.0,0.33,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33
5,América-MG,82.46,46.38,82.46,82.46,15.75,20.0,15.75,15.75,14.5,12.0,14.5,14.5,4.0,2.0,4.0,4.0,16.75,18.0,16.75,16.75,3.5,4.0,3.5,3.5,3.5,4.0,3.5,3.5,0.25,0.0,0.25,0.25,2.5,1.0,2.5,2.5,4.25,3.0,4.25,4.25,0.75,1.0,0.75,0.75,0.0,0.0,0.0,0.0,1.5,2.0,1.5,1.5,3.25,0.0,3.25,3.25,1.75,0.0,1.75,1.75,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25
6,América-MG,75.64,48.33,75.64,75.64,14.6,10.0,14.6,14.6,14.4,14.0,14.4,14.4,4.0,4.0,4.0,4.0,16.6,16.0,16.6,16.6,3.8,5.0,3.8,3.8,4.4,8.0,4.4,4.4,0.4,1.0,0.4,0.4,2.4,2.0,2.4,2.4,3.6,1.0,3.6,3.6,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,3.0,1.8,1.8,2.6,0.0,2.6,2.6,1.6,1.0,1.6,1.6,0.8,0.0,0.8,0.8,0.4,0.0,0.4,0.4,0.4,2.0,0.4,0.4,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2
7,América-MG,84.29,127.55,78.41,84.29,15.17,18.0,15.8,15.17,14.83,17.0,16.0,14.83,4.33,6.0,4.8,4.33,15.5,10.0,14.0,15.5,3.17,0.0,3.4,3.17,4.5,5.0,4.6,4.5,0.33,0.0,0.2,0.33,2.67,4.0,2.6,2.67,3.33,2.0,3.6,3.33,0.83,0.0,1.0,0.83,0.0,0.0,0.0,0.0,2.0,3.0,1.8,2.0,3.17,6.0,2.4,3.17,2.0,4.0,1.8,2.0,0.83,1.0,0.8,0.83,0.33,0.0,0.2,0.33,0.33,0.0,0.4,0.33,0.17,0.0,0.2,0.17,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.17
8,América-MG,77.44,36.33,65.21,77.44,14.86,13.0,15.8,14.86,13.86,8.0,14.0,13.86,4.29,4.0,3.8,4.29,15.29,14.0,14.4,15.29,3.0,2.0,2.8,3.0,4.57,5.0,5.0,4.57,0.29,0.0,0.2,0.29,2.43,1.0,2.2,2.43,2.86,0.0,2.2,2.86,1.0,2.0,1.4,1.0,0.0,0.0,0.0,0.0,1.86,1.0,1.8,1.86,2.71,0.0,1.2,2.71,1.71,0.0,1.4,1.71,0.71,0.0,0.6,0.71,0.29,0.0,0.2,0.29,0.29,0.0,0.4,0.29,0.14,0.0,0.2,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.14
9,América-MG,78.6,86.75,69.07,78.6,14.0,8.0,13.8,14.0,13.25,9.0,12.0,13.25,4.5,6.0,4.4,4.5,14.75,11.0,13.8,14.75,2.88,2.0,2.6,2.88,4.38,3.0,5.0,4.38,0.38,1.0,0.4,0.38,2.38,2.0,2.0,2.38,2.62,1.0,1.4,2.62,0.88,0.0,1.0,0.88,0.0,0.0,0.0,0.0,1.88,2.0,2.2,1.88,3.12,6.0,2.4,3.12,1.75,2.0,1.4,1.75,0.75,1.0,0.6,0.75,0.25,0.0,0.0,0.25,0.25,0.0,0.4,0.25,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.12
10,América-MG,72.71,25.53,64.9,72.71,13.89,13.0,12.4,13.89,13.22,13.0,12.2,13.22,4.11,1.0,4.2,4.11,14.78,15.0,13.2,14.78,2.56,0.0,1.8,2.56,4.11,2.0,4.6,4.11,0.44,1.0,0.6,0.44,2.11,0.0,1.8,2.11,2.78,4.0,1.6,2.78,1.0,2.0,1.2,1.0,0.0,0.0,0.0,0.0,1.67,0.0,1.8,1.67,2.78,0.0,2.4,2.78,1.56,0.0,1.4,1.56,0.67,0.0,0.4,0.67,0.33,1.0,0.2,0.33,0.33,1.0,0.6,0.33,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.22,1.0,0.2,0.22
11,América-MG,72.08,66.44,68.52,72.08,13.7,12.0,12.8,13.7,12.8,9.0,11.2,12.8,4.0,3.0,4.0,4.0,15.2,19.0,13.8,15.2,2.7,4.0,1.6,2.7,3.9,2.0,3.4,3.9,0.4,0.0,0.4,0.4,2.1,2.0,1.8,2.1,3.4,9.0,3.2,3.4,1.1,2.0,1.2,1.1,0.0,0.0,0.0,0.0,1.6,1.0,1.4,1.6,2.5,0.0,2.4,2.5,1.6,2.0,1.6,1.6,0.6,0.0,0.4,0.6,0.3,0.0,0.2,0.3,0.4,1.0,0.4,0.4,0.1,0.0,0.0,0.1,0.1,1.0,0.2,0.1,0.2,0.0,0.2,0.2
12,América-MG,71.91,70.27,57.06,67.74,13.55,12.0,11.6,13.7,12.55,10.0,9.8,12.9,4.36,8.0,4.4,4.6,14.82,11.0,14.0,14.0,2.45,0.0,1.6,2.5,4.18,7.0,3.8,4.2,0.55,2.0,0.8,0.5,2.09,2.0,1.4,2.0,3.18,1.0,3.0,3.3,1.09,1.0,1.4,1.2,0.0,0.0,0.0,0.0,1.64,2.0,1.2,1.5,2.27,0.0,1.2,1.8,1.64,2.0,1.2,1.5,0.64,1.0,0.4,0.6,0.27,0.0,0.2,0.2,0.36,0.0,0.4,0.4,0.09,0.0,0.0,0.1,0.09,0.0,0.2,0.1,0.18,0.0,0.2,0.1
13,América-MG,70.61,56.31,61.06,63.13,13.25,10.0,11.0,13.4,12.0,6.0,9.4,11.7,4.17,2.0,4.0,3.9,15.58,24.0,16.0,15.2,2.33,1.0,1.4,2.1,3.83,0.0,2.8,3.9,0.5,0.0,0.8,0.5,2.08,2.0,1.6,1.9,3.17,3.0,3.6,2.9,1.08,1.0,1.2,1.3,0.0,0.0,0.0,0.0,1.58,1.0,1.2,1.5,2.08,0.0,1.2,1.2,1.67,2.0,1.6,1.5,0.67,1.0,0.6,0.6,0.25,0.0,0.2,0.2,0.33,0.0,0.4,0.4,0.08,0.0,0.0,0.1,0.08,0.0,0.2,0.1,0.17,0.0,0.2,0.1
14,América-MG,68.78,46.8,53.07,61.07,13.23,13.0,12.0,12.9,12.31,16.0,10.8,11.4,4.0,2.0,3.2,3.8,15.77,18.0,17.4,15.6,2.23,1.0,1.2,1.9,3.77,3.0,2.8,3.9,0.46,0.0,0.6,0.5,2.08,2.0,1.6,1.8,3.15,3.0,4.0,2.7,1.15,2.0,1.6,1.3,0.0,0.0,0.0,0.0,1.54,1.0,1.0,1.6,1.92,0.0,0.0,1.2,1.62,1.0,1.4,1.4,0.62,0.0,0.4,0.5,0.23,0.0,0.2,0.1,0.31,0.0,0.4,0.4,0.15,1.0,0.2,0.1,0.08,0.0,0.2,0.1,0.15,0.0,0.2,0.1
16,América-MG,68.04,58.38,59.64,62.27,13.64,19.0,13.2,12.8,12.57,16.0,11.4,11.8,3.93,3.0,3.6,3.9,16.0,19.0,18.2,15.7,2.36,4.0,2.0,1.9,3.79,4.0,3.2,3.9,0.43,0.0,0.4,0.5,2.07,2.0,2.0,1.9,3.07,2.0,3.6,2.6,1.14,1.0,1.4,1.3,0.0,0.0,0.0,0.0,1.5,1.0,1.2,1.5,1.79,0.0,0.0,1.2,1.57,1.0,1.6,1.5,0.64,1.0,0.6,0.5,0.21,0.0,0.0,0.1,0.29,0.0,0.2,0.4,0.14,0.0,0.2,0.1,0.07,0.0,0.2,0.1,0.14,0.0,0.0,0.1
17,América-MG,67.24,56.07,57.57,63.04,14.13,21.0,15.0,13.9,12.27,8.0,11.2,11.2,4.0,5.0,4.0,4.0,15.73,12.0,16.8,15.3,2.33,2.0,1.6,1.6,3.87,5.0,3.8,3.6,0.4,0.0,0.4,0.4,2.0,1.0,1.8,1.8,3.07,3.0,2.4,2.8,1.13,1.0,1.2,1.2,0.0,0.0,0.0,0.0,1.67,4.0,1.8,1.6,1.67,0.0,0.0,1.2,1.53,1.0,1.4,1.5,0.6,0.0,0.6,0.5,0.2,0.0,0.0,0.1,0.27,0.0,0.0,0.2,0.13,0.0,0.2,0.1,0.07,0.0,0.0,0.1,0.13,0.0,0.0,0.1
18,América-MG,69.38,101.47,63.81,60.43,14.81,25.0,17.6,14.6,12.25,12.0,11.6,10.7,3.81,1.0,2.6,3.5,15.5,12.0,17.0,15.5,2.25,1.0,1.8,1.7,3.81,3.0,3.0,3.4,0.38,0.0,0.0,0.4,2.12,4.0,2.2,1.8,3.25,6.0,3.4,3.2,1.12,1.0,1.2,1.3,0.0,0.0,0.0,0.0,2.0,7.0,2.8,2.0,1.56,0.0,0.0,0.6,1.69,4.0,1.8,1.5,0.62,1.0,0.6,0.5,0.19,0.0,0.0,0.1,0.25,0.0,0.0,0.2,0.12,0.0,0.2,0.1,0.06,0.0,0.0,0.1,0.12,0.0,0.0,0.1
19,América-MG,70.68,91.44,70.83,65.95,15.24,22.0,20.0,15.5,12.71,20.0,14.4,11.9,4.35,13.0,4.8,4.4,15.71,19.0,16.0,16.0,2.35,4.0,2.4,1.9,3.82,4.0,3.8,3.3,0.35,0.0,0.0,0.4,2.18,3.0,2.4,2.0,3.29,4.0,3.6,3.6,1.12,1.0,1.2,1.2,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.1,1.47,0.0,0.0,0.6,1.76,3.0,2.0,1.8,0.65,1.0,0.6,0.6,0.18,0.0,0.0,0.1,0.24,0.0,0.0,0.2,0.12,0.0,0.2,0.1,0.06,0.0,0.0,0.1,0.12,0.0,0.0,0.1
20,América-MG,71.28,81.51,77.77,65.42,15.22,15.0,20.4,16.2,12.67,12.0,13.6,12.2,4.39,5.0,5.4,4.3,15.5,12.0,14.8,16.1,2.28,1.0,2.4,1.8,3.72,2.0,3.6,3.2,0.39,1.0,0.2,0.4,2.11,1.0,2.2,1.9,3.22,2.0,3.4,3.7,1.06,0.0,0.8,1.2,0.0,0.0,0.0,0.0,1.89,0.0,2.8,1.9,1.72,6.0,1.2,0.6,1.72,1.0,2.0,1.7,0.67,1.0,0.8,0.6,0.17,0.0,0.0,0.1,0.22,0.0,0.0,0.2,0.11,0.0,0.0,0.1,0.06,0.0,0.0,0.1,0.11,0.0,0.0,0.1
21,América-MG,71.0,66.02,79.3,69.47,15.21,15.0,19.6,16.4,12.37,7.0,11.8,11.6,4.58,8.0,6.4,5.0,15.21,10.0,13.0,15.6,2.21,1.0,1.8,1.9,3.68,3.0,3.4,3.3,0.37,0.0,0.2,0.3,2.16,3.0,2.4,2.2,3.16,2.0,3.4,3.5,1.05,1.0,0.8,1.1,0.0,0.0,0.0,0.0,1.95,3.0,3.2,2.2,1.63,0.0,1.2,0.6,1.68,1.0,2.0,1.8,0.68,1.0,0.8,0.7,0.16,0.0,0.0,0.0,0.21,0.0,0.0,0.1,0.11,0.0,0.0,0.1,0.05,0.0,0.0,0.1,0.11,0.0,0.0,0.0
22,América-MG,69.17,34.31,74.95,66.26,15.0,11.0,17.6,16.3,12.2,9.0,12.0,11.6,4.5,3.0,6.0,5.0,15.45,20.0,14.6,15.7,2.15,1.0,1.6,1.6,3.7,4.0,3.2,3.5,0.35,0.0,0.2,0.3,2.1,1.0,2.4,2.1,3.1,2.0,3.2,2.8,1.1,2.0,1.0,1.1,0.0,0.0,0.0,0.0,1.85,0.0,2.4,2.1,1.55,0.0,1.2,0.6,1.6,0.0,1.8,1.6,0.65,0.0,0.8,0.7,0.2,1.0,0.2,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.15,1.0,0.2,0.1
23,América-MG,67.1,25.75,59.81,61.81,14.81,11.0,14.8,16.2,12.38,16.0,12.8,12.2,4.52,5.0,6.8,4.7,15.38,14.0,15.0,16.0,2.24,4.0,2.2,2.0,3.62,2.0,3.0,3.0,0.43,2.0,0.6,0.3,2.0,0.0,1.6,1.9,3.19,5.0,3.0,3.2,1.14,2.0,1.2,1.2,0.0,0.0,0.0,0.0,1.86,2.0,1.4,2.1,1.48,0.0,1.2,0.6,1.52,0.0,1.0,1.4,0.62,0.0,0.6,0.6,0.19,0.0,0.2,0.1,0.19,0.0,0.0,0.0,0.14,1.0,0.2,0.2,0.05,0.0,0.0,0.0,0.14,0.0,0.2,0.1
25,América-MG,66.11,45.38,50.59,60.71,14.45,7.0,11.8,15.9,12.32,11.0,11.0,12.7,4.45,3.0,4.8,4.8,15.41,16.0,14.4,15.2,2.18,1.0,1.6,2.0,3.77,7.0,3.6,3.7,0.45,1.0,0.8,0.4,2.0,2.0,1.4,1.9,3.09,1.0,2.4,3.0,1.18,2.0,1.4,1.3,0.0,0.0,0.0,0.0,1.91,3.0,1.6,2.3,1.41,0.0,1.2,0.6,1.45,0.0,0.4,1.2,0.59,0.0,0.4,0.5,0.23,1.0,0.4,0.2,0.18,0.0,0.0,0.0,0.14,0.0,0.2,0.2,0.05,0.0,0.0,0.0,0.14,0.0,0.2,0.1
26,América-MG,65.28,47.02,43.7,60.74,14.61,18.0,12.4,16.4,12.43,15.0,11.6,12.6,4.7,10.0,5.8,5.6,15.17,10.0,14.0,14.4,2.22,3.0,2.0,2.2,3.65,1.0,3.4,3.5,0.43,0.0,0.6,0.4,1.96,1.0,1.4,1.8,3.22,6.0,3.2,3.3,1.17,1.0,1.6,1.2,0.0,0.0,0.0,0.0,1.91,2.0,2.0,2.4,1.35,0.0,0.0,0.6,1.43,1.0,0.4,1.2,0.57,0.0,0.2,0.5,0.22,0.0,0.4,0.2,0.17,0.0,0.0,0.0,0.17,1.0,0.4,0.2,0.04,0.0,0.0,0.0,0.13,0.0,0.2,0.1
27,América-MG,65.01,58.71,42.23,60.77,14.29,7.0,10.8,15.2,12.33,10.0,12.2,12.0,4.79,7.0,5.6,6.0,15.04,12.0,14.4,13.7,2.21,2.0,2.2,2.0,3.54,1.0,3.0,3.2,0.42,0.0,0.6,0.4,2.0,3.0,1.4,1.9,3.12,1.0,3.0,3.2,1.21,2.0,1.8,1.3,0.0,0.0,0.0,0.0,1.96,3.0,2.0,2.6,1.29,0.0,0.0,0.6,1.5,3.0,0.8,1.4,0.58,1.0,0.2,0.5,0.21,0.0,0.4,0.2,0.21,1.0,0.2,0.1,0.17,0.0,0.4,0.2,0.04,0.0,0.0,0.0,0.12,0.0,0.2,0.1
28,América-MG,64.35,48.56,45.08,60.02,14.16,11.0,10.8,14.2,12.44,15.0,13.4,12.7,4.72,3.0,5.6,5.8,14.64,5.0,11.4,13.0,2.16,1.0,2.2,1.9,3.4,0.0,2.2,2.7,0.4,0.0,0.6,0.4,2.0,2.0,1.6,2.0,3.24,6.0,3.8,3.5,1.2,1.0,1.6,1.3,0.0,0.0,0.0,0.0,1.88,0.0,2.0,2.2,1.24,0.0,0.0,0.6,1.52,2.0,1.2,1.5,0.6,1.0,0.4,0.6,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.1,0.16,0.0,0.4,0.2,0.04,0.0,0.0,0.0,0.12,0.0,0.0,0.1
29,América-MG,63.56,43.64,48.66,54.23,14.08,12.0,11.0,12.9,12.54,15.0,13.2,13.0,4.85,8.0,6.2,6.5,14.54,12.0,11.0,13.0,2.15,2.0,1.8,2.0,3.42,4.0,2.6,2.8,0.38,0.0,0.2,0.4,1.96,1.0,1.8,1.7,3.23,3.0,3.4,3.2,1.19,1.0,1.4,1.3,0.0,0.0,0.0,0.0,1.85,1.0,1.8,1.6,1.19,0.0,0.0,0.6,1.5,1.0,1.4,1.2,0.58,0.0,0.4,0.5,0.19,0.0,0.2,0.2,0.19,0.0,0.2,0.1,0.15,0.0,0.2,0.2,0.04,0.0,0.0,0.0,0.12,0.0,0.0,0.1
30,América-MG,64.07,77.58,55.1,52.85,14.0,12.0,12.0,11.9,12.59,14.0,13.8,12.4,5.04,10.0,7.6,6.2,14.48,13.0,10.4,12.4,2.07,0.0,1.6,1.6,3.44,4.0,2.0,2.8,0.37,0.0,0.0,0.4,2.0,3.0,2.0,1.7,3.26,4.0,4.0,3.2,1.22,2.0,1.4,1.4,0.0,0.0,0.0,0.0,1.89,3.0,1.8,1.7,1.15,0.0,0.0,0.6,1.56,3.0,2.0,1.2,0.59,1.0,0.6,0.5,0.19,0.0,0.0,0.2,0.19,0.0,0.2,0.1,0.15,0.0,0.2,0.2,0.04,0.0,0.0,0.0,0.11,0.0,0.0,0.1
31,América-MG,64.47,75.18,60.73,52.22,13.86,10.0,10.4,11.4,12.32,5.0,11.8,11.7,5.0,4.0,6.4,6.1,14.32,10.0,10.4,12.2,2.07,2.0,1.4,1.7,3.57,7.0,3.2,3.3,0.36,0.0,0.0,0.3,2.07,4.0,2.6,2.0,3.25,3.0,3.4,3.3,1.29,3.0,1.8,1.7,0.0,0.0,0.0,0.0,1.86,1.0,1.6,1.8,1.11,0.0,0.0,0.0,1.57,2.0,2.2,1.3,0.61,1.0,0.8,0.5,0.21,1.0,0.2,0.3,0.18,0.0,0.2,0.1,0.14,0.0,0.0,0.2,0.04,0.0,0.0,0.0,0.11,0.0,0.0,0.1
32,América-MG,63.97,49.96,58.98,50.61,13.79,12.0,11.4,11.1,12.41,15.0,12.8,12.5,5.21,11.0,7.2,6.4,14.28,13.0,10.6,12.5,2.0,0.0,1.0,1.6,3.55,3.0,3.6,3.3,0.38,1.0,0.2,0.4,2.03,1.0,2.2,1.8,3.21,2.0,3.6,3.3,1.28,1.0,1.6,1.7,0.0,0.0,0.0,0.0,1.79,0.0,1.0,1.5,1.07,0.0,0.0,0.0,1.55,1.0,1.8,1.3,0.59,0.0,0.6,0.4,0.21,0.0,0.2,0.3,0.17,0.0,0.0,0.1,0.14,0.0,0.0,0.2,0.03,0.0,0.0,0.0,0.1,0.0,0.0,0.1
33,América-MG,63.17,39.93,57.26,51.17,13.7,11.0,11.4,11.1,12.63,19.0,13.6,13.5,5.23,6.0,7.8,6.7,14.17,11.0,11.8,11.6,2.0,2.0,1.2,1.7,3.6,5.0,4.6,3.4,0.4,1.0,0.4,0.5,2.0,1.0,2.0,1.8,3.2,3.0,3.0,3.4,1.27,1.0,1.6,1.6,0.0,0.0,0.0,0.0,1.8,2.0,1.4,1.7,1.03,0.0,0.0,0.0,1.53,1.0,1.6,1.4,0.57,0.0,0.4,0.4,0.2,0.0,0.2,0.2,0.17,0.0,0.0,0.1,0.17,1.0,0.2,0.3,0.03,0.0,0.0,0.0,0.1,0.0,0.0,0.0
1,Athlético-PR,18.87,18.87,18.87,18.87,6.0,6.0,6.0,6.0,18.0,18.0,18.0,18.0,9.0,9.0,9.0,9.0,18.0,18.0,18.0,18.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Athlético-PR,18.87,18.87,18.87,18.87,6.0,6.0,6.0,6.0,18.0,18.0,18.0,18.0,9.0,9.0,9.0,9.0,18.0,18.0,18.0,18.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Athlético-PR,51.72,84.56,51.72,51.72,9.0,12.0,9.0,9.0,15.5,13.0,15.5,15.5,7.5,6.0,7.5,7.5,19.0,20.0,19.0,19.0,3.0,3.0,3.0,3.0,2.5,3.0,2.5,2.5,0.5,1.0,0.5,0.5,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,2.5,5.0,2.5,2.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Athlético-PR,52.16,53.05,52.16,52.16,11.0,15.0,11.0,11.0,16.0,17.0,16.0,16.0,7.0,6.0,7.0,7.0,16.33,11.0,16.33,16.33,2.67,2.0,2.67,2.67,3.0,4.0,3.0,3.0,0.33,0.0,0.33,0.33,1.33,2.0,1.33,1.33,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.67,0.0,1.67,1.67,0.67,1.0,0.67,0.67,0.67,1.0,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Athlético-PR,50.17,44.18,50.17,50.17,13.0,19.0,13.0,13.0,14.75,11.0,14.75,14.75,6.0,3.0,6.0,6.0,15.75,14.0,15.75,15.75,2.5,2.0,2.5,2.5,3.0,3.0,3.0,3.0,0.25,0.0,0.25,0.25,1.25,1.0,1.25,1.25,2.25,3.0,2.25,2.25,1.25,2.0,1.25,1.25,0.0,0.0,0.0,0.0,1.5,0.0,1.5,1.5,1.25,0.0,1.25,1.25,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.25,1.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Athlético-PR,45.3,25.85,45.3,45.3,12.2,9.0,12.2,12.2,14.0,11.0,14.0,14.0,5.8,5.0,5.8,5.8,14.6,10.0,14.6,14.6,2.4,2.0,2.4,2.4,2.8,2.0,2.8,2.8,0.6,2.0,0.6,0.6,1.0,0.0,1.0,1.0,2.4,3.0,2.4,2.4,1.4,2.0,1.4,1.4,0.0,0.0,0.0,0.0,1.6,2.0,1.6,1.6,1.0,0.0,1.0,1.0,0.4,0.0,0.4,0.4,0.4,0.0,0.4,0.4,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
