rodada,adv,equipe_contraAvgpontuacao,equipe_contraLastpontuacao,equipe_contraAvgMov5pontuacao,equipe_contraAvgMov10pontuacao,equipe_contraAvgDS,equipe_contraLastDS,equipe_contraAvgMov5DS,equipe_contraAvgMov10DS,equipe_contraAvgFC,equipe_contraLastFC,equipe_contraAvgMov5FC,equipe_contraAvgMov10FC,equipe_contraAvgFF,equipe_contraLastFF,equipe_contraAvgMov5FF,equipe_contraAvgMov10FF,equipe_contraAvgFS,equipe_contraLastFS,equipe_contraAvgMov5FS,equipe_contraAvgMov10FS,equipe_contraAvgCA,equipe_contraLastCA,equipe_contraAvgMov5CA,equipe_contraAvgMov10CA,equipe_contraAvgFD,equipe_contraLastFD,equipe_contraAvgMov5FD,equipe_contraAvgMov10FD,equipe_contraAvgFT,equipe_contraLastFT,equipe_contraAvgMov5FT,equipe_contraAvgMov10FT,equipe_contraAvgG,equipe_contraLastG,equipe_contraAvgMov5G,equipe_contraAvgMov10G,equipe_contraAvgDE,equipe_contraLastDE,equipe_contraAvgMov5DE,equipe_contraAvgMov10DE,equipe_contraAvgGS,equipe_contraLastGS,equipe_contraAvgMov5GS,equipe_contraAvgMov10GS,equipe_contraAvgGC,equipe_contraLastGC,equipe_contraAvgMov5GC,equipe_contraAvgMov10GC,equipe_contraAvgI,equipe_contraLastI,equipe_contraAvgMov5I,equipe_contraAvgMov10I,equipe_contraAvgSG,equipe_contraLastSG,equipe_contraAvgMov5SG,equipe_contraAvgMov10SG,equipe_contraAvgA,equipe_contraLastA,equipe_contraAvgMov5A,equipe_contraAvgMov10A,equipe_contraAvgV,equipe_contraLastV,equipe_contraAvgMov5V,equipe_contraAvgMov10V,equipe_contraAvgPS,equipe_contraLastPS,equipe_contraAvgMov5PS,equipe_contraAvgMov10PS,equipe_contraAvgPC,equipe_contraLastPC,equipe_contraAvgMov5PC,equipe_contraAvgMov10PC,equipe_contraAvgCV,equipe_contraLastCV,equipe_contraAvgMov5CV,equipe_contraAvgMov10CV,equipe_contraAvgDP,equipe_contraLastDP,equipe_contraAvgMov5DP,equipe_contraAvgMov10DP,equipe_contraAvgPP,equipe_contraLastPP,equipe_contraAvgMov5PP,equipe_contraAvgMov10PP
16,Corinthians,58.95,33.49,57.83,60.85,15.93,18.0,17.4,15.8,14.86,15.0,17.4,14.6,5.43,8.0,6.2,5.4,12.14,6.0,10.6,11.4,2.43,3.0,2.8,2.2,3.21,6.0,4.0,3.6,0.43,0.0,0.6,0.4,1.21,0.0,0.6,1.0,3.07,1.0,3.0,2.8,0.86,1.0,0.8,0.7,0.07,0.0,0.0,0.0,1.29,0.0,0.6,0.9,2.0,0.0,2.6,2.8,0.86,0.0,0.6,0.7,0.5,0.0,0.4,0.5,0.07,0.0,0.0,0.1,0.14,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Corinthians,59.71,70.36,62.65,58.6,15.6,11.0,16.2,15.4,14.73,13.0,17.4,14.7,5.6,8.0,6.6,5.8,12.67,20.0,12.6,13.0,2.47,3.0,2.8,2.4,3.33,5.0,4.8,3.8,0.4,0.0,0.6,0.3,1.13,0.0,0.4,0.7,2.93,1.0,2.0,2.5,0.8,0.0,0.6,0.7,0.07,0.0,0.0,0.0,1.33,2.0,0.8,1.1,2.33,7.0,4.0,3.0,0.8,0.0,0.4,0.6,0.47,0.0,0.4,0.4,0.07,0.0,0.0,0.0,0.13,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Corinthians,58.9,46.8,66.75,59.92,15.25,10.0,15.6,14.9,14.5,11.0,16.2,14.1,6.06,13.0,8.0,6.9,12.62,12.0,12.6,12.7,2.31,0.0,2.4,2.0,3.38,4.0,4.8,4.2,0.38,0.0,0.6,0.3,1.12,1.0,0.6,0.7,3.0,4.0,2.4,2.7,0.94,3.0,0.8,0.9,0.06,0.0,0.0,0.0,1.25,0.0,0.8,0.9,2.19,0.0,4.0,3.0,0.81,1.0,0.6,0.6,0.44,0.0,0.4,0.4,0.06,0.0,0.0,0.0,0.19,1.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Corinthians,57.57,36.22,56.4,56.3,15.0,11.0,14.2,14.7,14.65,17.0,14.6,14.9,5.94,4.0,7.6,6.9,12.29,7.0,12.0,12.2,2.35,3.0,2.2,2.3,3.29,2.0,4.2,4.2,0.41,1.0,0.2,0.4,1.18,2.0,0.8,0.8,2.88,1.0,2.2,2.5,1.0,2.0,1.2,1.1,0.06,0.0,0.0,0.0,1.18,0.0,0.6,0.9,2.06,0.0,2.8,2.5,0.82,1.0,0.6,0.6,0.41,0.0,0.2,0.3,0.06,0.0,0.0,0.0,0.24,1.0,0.4,0.3,0.06,1.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Corinthians,56.43,37.09,44.79,55.9,15.11,17.0,13.4,15.0,14.56,13.0,13.8,15.6,5.83,4.0,7.4,6.3,12.56,17.0,12.4,12.2,2.33,2.0,2.2,2.3,3.33,4.0,4.2,3.9,0.39,0.0,0.2,0.4,1.11,0.0,0.6,0.8,3.06,6.0,2.6,2.9,1.11,3.0,1.8,1.2,0.06,0.0,0.0,0.0,1.11,0.0,0.4,0.6,1.94,0.0,1.4,2.5,0.78,0.0,0.4,0.6,0.39,0.0,0.0,0.3,0.06,0.0,0.0,0.0,0.22,0.0,0.4,0.3,0.06,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Corinthians,56.26,53.13,48.72,53.27,15.26,18.0,13.4,15.4,14.68,17.0,14.2,15.8,5.89,7.0,7.2,6.7,12.58,13.0,13.8,12.2,2.37,3.0,2.2,2.5,3.47,6.0,4.2,4.1,0.42,1.0,0.4,0.5,1.11,1.0,0.8,0.7,2.95,1.0,2.6,2.8,1.11,1.0,1.8,1.3,0.05,0.0,0.0,0.0,1.11,1.0,0.6,0.6,1.84,0.0,1.4,2.0,0.79,1.0,0.6,0.6,0.37,0.0,0.0,0.2,0.05,0.0,0.0,0.0,0.21,0.0,0.4,0.2,0.05,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Corinthians,56.38,58.69,46.39,54.52,15.5,20.0,15.2,15.7,14.7,15.0,14.6,16.0,6.05,9.0,7.4,7.0,12.7,15.0,12.8,12.7,2.3,1.0,1.8,2.3,3.45,3.0,3.8,4.3,0.45,1.0,0.6,0.6,1.1,1.0,1.0,0.7,3.1,6.0,3.6,2.8,1.1,1.0,2.0,1.3,0.05,0.0,0.0,0.0,1.05,0.0,0.2,0.5,1.75,0.0,0.0,2.0,0.75,0.0,0.6,0.5,0.35,0.0,0.0,0.2,0.1,1.0,0.2,0.1,0.2,0.0,0.4,0.2,0.05,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Corinthians,57.15,72.55,51.54,59.14,15.67,19.0,17.0,16.3,14.81,17.0,15.8,16.0,6.1,7.0,6.2,7.1,12.71,13.0,13.0,12.8,2.29,2.0,2.2,2.3,3.48,4.0,3.8,4.3,0.43,0.0,0.6,0.6,1.05,0.0,0.8,0.7,3.05,2.0,3.2,2.8,1.05,0.0,1.4,1.1,0.05,0.0,0.0,0.0,1.05,1.0,0.4,0.6,2.0,7.0,1.4,2.7,0.71,0.0,0.4,0.5,0.33,0.0,0.0,0.2,0.1,0.0,0.2,0.1,0.19,0.0,0.2,0.2,0.1,1.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Corinthians,57.71,69.51,58.19,57.3,15.82,19.0,18.6,16.4,14.77,14.0,15.2,14.9,6.18,8.0,7.0,7.3,12.86,16.0,14.8,13.4,2.23,1.0,1.8,2.0,3.5,4.0,4.2,4.2,0.45,1.0,0.6,0.4,1.09,2.0,0.8,0.8,2.95,1.0,3.2,2.7,1.05,1.0,1.2,1.2,0.05,0.0,0.0,0.0,1.0,0.0,0.4,0.5,1.91,0.0,1.4,2.1,0.77,2.0,0.6,0.6,0.36,1.0,0.2,0.2,0.14,1.0,0.4,0.2,0.18,0.0,0.0,0.2,0.09,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.05,1.0,0.2,0.1
25,Corinthians,56.25,24.11,55.6,50.2,15.61,11.0,17.4,15.4,14.48,8.0,14.2,14.0,6.13,5.0,7.2,7.3,13.09,18.0,15.0,13.7,2.3,4.0,2.2,2.2,3.43,2.0,3.8,4.0,0.43,0.0,0.6,0.4,1.04,0.0,0.8,0.7,3.0,4.0,2.8,2.7,1.04,1.0,0.8,1.3,0.04,0.0,0.0,0.0,1.0,1.0,0.6,0.5,1.83,0.0,1.4,1.4,0.74,0.0,0.6,0.5,0.35,0.0,0.2,0.1,0.13,0.0,0.4,0.2,0.17,0.0,0.0,0.2,0.13,1.0,0.4,0.3,0.0,0.0,0.0,0.0,0.04,0.0,0.2,0.1
