rodada,equipe,equipe_proAvgpontuacao,equipe_proLastpontuacao,equipe_proAvgMov5pontuacao,equipe_proAvgMov10pontuacao,equipe_proAvgDS,equipe_proLastDS,equipe_proAvgMov5DS,equipe_proAvgMov10DS,equipe_proAvgFC,equipe_proLastFC,equipe_proAvgMov5FC,equipe_proAvgMov10FC,equipe_proAvgFF,equipe_proLastFF,equipe_proAvgMov5FF,equipe_proAvgMov10FF,equipe_proAvgFS,equipe_proLastFS,equipe_proAvgMov5FS,equipe_proAvgMov10FS,equipe_proAvgCA,equipe_proLastCA,equipe_proAvgMov5CA,equipe_proAvgMov10CA,equipe_proAvgFD,equipe_proLastFD,equipe_proAvgMov5FD,equipe_proAvgMov10FD,equipe_proAvgFT,equipe_proLastFT,equipe_proAvgMov5FT,equipe_proAvgMov10FT,equipe_proAvgG,equipe_proLastG,equipe_proAvgMov5G,equipe_proAvgMov10G,equipe_proAvgDE,equipe_proLastDE,equipe_proAvgMov5DE,equipe_proAvgMov10DE,equipe_proAvgGS,equipe_proLastGS,equipe_proAvgMov5GS,equipe_proAvgMov10GS,equipe_proAvgGC,equipe_proLastGC,equipe_proAvgMov5GC,equipe_proAvgMov10GC,equipe_proAvgI,equipe_proLastI,equipe_proAvgMov5I,equipe_proAvgMov10I,equipe_proAvgSG,equipe_proLastSG,equipe_proAvgMov5SG,equipe_proAvgMov10SG,equipe_proAvgA,equipe_proLastA,equipe_proAvgMov5A,equipe_proAvgMov10A,equipe_proAvgV,equipe_proLastV,equipe_proAvgMov5V,equipe_proAvgMov10V,equipe_proAvgPS,equipe_proLastPS,equipe_proAvgMov5PS,equipe_proAvgMov10PS,equipe_proAvgPC,equipe_proLastPC,equipe_proAvgMov5PC,equipe_proAvgMov10PC,equipe_proAvgCV,equipe_proLastCV,equipe_proAvgMov5CV,equipe_proAvgMov10CV,equipe_proAvgDP,equipe_proLastDP,equipe_proAvgMov5DP,equipe_proAvgMov10DP,equipe_proAvgPP,equipe_proLastPP,equipe_proAvgMov5PP,equipe_proAvgMov10PP
22,Bahia,57.46,30.22,74.7,59.97,16.48,12.0,18.0,15.9,14.81,10.0,13.4,13.2,6.33,8.0,7.8,7.1,14.33,14.0,15.2,13.9,2.43,3.0,2.6,2.3,3.52,6.0,3.6,3.9,0.29,0.0,0.2,0.1,0.95,0.0,1.4,0.9,4.1,2.0,5.4,5.0,1.33,3.0,1.0,1.2,0.0,0.0,0.0,0.0,1.62,3.0,1.6,1.1,1.81,0.0,2.6,2.0,0.67,0.0,1.2,0.7,0.24,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Bahia,57.13,50.18,66.83,59.3,16.82,24.0,18.0,16.4,15.05,20.0,14.6,14.1,6.27,5.0,7.0,6.7,14.41,16.0,16.0,14.7,2.41,2.0,2.2,2.5,3.45,2.0,3.6,3.9,0.27,0.0,0.2,0.1,0.95,1.0,1.6,0.9,3.91,0.0,3.2,4.2,1.32,1.0,1.2,1.1,0.0,0.0,0.0,0.0,1.64,2.0,1.8,1.3,1.73,0.0,1.2,2.0,0.68,1.0,1.4,0.7,0.23,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.09,1.0,0.2,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Bahia,57.62,68.42,62.22,62.08,16.65,13.0,16.2,16.1,15.13,17.0,14.0,13.7,6.13,3.0,5.0,6.0,14.39,14.0,15.0,15.2,2.35,1.0,1.6,2.3,3.52,5.0,3.8,4.0,0.3,1.0,0.4,0.2,1.09,4.0,1.8,1.2,3.91,4.0,3.2,4.2,1.35,2.0,1.4,1.1,0.0,0.0,0.0,0.0,1.61,1.0,1.6,1.4,1.65,0.0,1.2,2.0,0.65,0.0,0.8,0.7,0.26,1.0,0.4,0.3,0.0,0.0,0.0,0.0,0.09,0.0,0.2,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Bahia,56.1,21.16,60.49,61.79,16.46,12.0,16.4,16.4,15.0,12.0,14.0,13.8,5.96,2.0,4.6,5.9,14.25,11.0,14.4,15.0,2.33,2.0,2.0,2.2,3.54,4.0,3.6,4.0,0.29,0.0,0.4,0.2,1.04,0.0,1.8,1.2,3.92,4.0,3.4,4.1,1.33,1.0,1.4,1.1,0.0,0.0,0.0,0.0,1.67,3.0,2.0,1.6,1.58,0.0,1.2,2.0,0.62,0.0,0.8,0.7,0.25,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.12,1.0,0.4,0.2,0.12,1.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Bahia,57.65,94.71,52.94,67.84,16.36,14.0,15.0,16.4,14.64,6.0,13.0,13.5,5.8,2.0,4.0,5.9,13.92,6.0,12.2,14.3,2.32,2.0,2.0,2.3,3.48,2.0,3.8,3.6,0.28,0.0,0.2,0.2,1.24,6.0,2.2,1.8,3.88,3.0,2.6,3.9,1.44,4.0,2.2,1.3,0.0,0.0,0.0,0.0,1.64,1.0,2.0,1.7,1.52,0.0,0.0,2.0,0.76,4.0,1.0,1.1,0.28,1.0,0.4,0.4,0.0,0.0,0.0,0.0,0.16,1.0,0.6,0.3,0.12,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Bahia,58.39,76.93,62.28,68.49,16.27,14.0,15.4,16.7,14.62,14.0,13.8,13.6,5.81,6.0,3.6,5.7,13.85,12.0,11.8,13.5,2.27,1.0,1.6,2.1,3.46,3.0,3.2,3.4,0.27,0.0,0.2,0.2,1.23,1.0,2.4,1.9,3.77,1.0,2.4,3.9,1.38,0.0,1.6,1.3,0.0,0.0,0.0,0.0,1.73,4.0,2.2,1.9,1.69,6.0,1.2,1.9,0.77,1.0,1.2,1.2,0.31,1.0,0.6,0.5,0.0,0.0,0.0,0.0,0.15,0.0,0.6,0.3,0.12,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Bahia,59.62,91.67,70.58,68.7,16.26,16.0,13.8,15.9,14.93,23.0,14.4,14.5,5.93,9.0,4.4,5.7,13.81,13.0,11.2,13.6,2.37,5.0,2.2,2.2,3.37,1.0,3.0,3.3,0.26,0.0,0.2,0.2,1.26,2.0,2.6,2.1,3.81,5.0,3.4,3.3,1.33,0.0,1.4,1.3,0.0,0.0,0.0,0.0,1.67,0.0,1.8,1.8,1.85,6.0,2.4,1.8,0.81,2.0,1.4,1.4,0.33,1.0,0.8,0.6,0.0,0.0,0.0,0.0,0.15,0.0,0.4,0.3,0.11,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Bahia,58.29,22.36,61.37,61.79,16.21,15.0,14.2,15.2,14.75,10.0,13.0,13.5,5.79,2.0,4.2,4.6,13.75,12.0,10.8,12.9,2.36,2.0,2.4,2.0,3.25,0.0,2.0,2.9,0.29,1.0,0.2,0.3,1.21,0.0,1.8,1.8,3.79,3.0,3.2,3.2,1.39,3.0,1.6,1.5,0.04,1.0,0.2,0.1,1.64,1.0,1.8,1.7,1.79,0.0,2.4,1.8,0.79,0.0,1.4,1.1,0.32,0.0,0.6,0.5,0.0,0.0,0.0,0.0,0.14,0.0,0.4,0.3,0.11,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Bahia,57.2,26.62,62.46,61.47,16.1,13.0,14.4,15.4,14.83,17.0,14.0,14.0,5.72,4.0,4.6,4.6,13.79,15.0,11.6,13.0,2.34,2.0,2.4,2.2,3.17,1.0,1.4,2.5,0.28,0.0,0.2,0.3,1.17,0.0,1.8,1.8,3.93,8.0,4.0,3.7,1.38,1.0,1.6,1.5,0.03,0.0,0.2,0.1,1.59,0.0,1.2,1.6,1.72,0.0,2.4,1.8,0.76,0.0,1.4,1.1,0.31,0.0,0.6,0.5,0.0,0.0,0.0,0.0,0.14,0.0,0.2,0.3,0.14,1.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Bahia,56.11,24.65,48.45,50.69,15.87,9.0,13.4,14.2,14.9,17.0,16.2,14.6,5.8,8.0,5.8,4.9,13.63,9.0,12.2,12.2,2.4,4.0,2.8,2.4,3.23,5.0,2.0,2.9,0.3,1.0,0.4,0.3,1.13,0.0,0.6,1.4,3.87,2.0,3.8,3.2,1.37,1.0,1.0,1.6,0.03,0.0,0.2,0.1,1.53,0.0,1.0,1.5,1.67,0.0,2.4,1.2,0.73,0.0,0.6,0.8,0.3,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.3,0.13,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Botafogo,62.42,62.42,62.42,62.42,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,6.0,6.0,6.0,6.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Botafogo,62.42,62.42,62.42,62.42,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,6.0,6.0,6.0,6.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Botafogo,63.4,64.38,63.4,63.4,20.0,20.0,20.0,20.0,14.5,9.0,14.5,14.5,4.0,2.0,4.0,4.0,12.0,15.0,12.0,12.0,2.5,2.0,2.5,2.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.5,5.0,3.5,3.5,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Botafogo,65.47,69.62,65.47,65.47,17.67,13.0,17.67,17.67,13.67,12.0,13.67,13.67,3.67,3.0,3.67,3.67,12.0,12.0,12.0,12.0,2.33,2.0,2.33,2.33,1.67,3.0,1.67,1.67,0.0,0.0,0.0,0.0,2.33,3.0,2.33,2.33,7.0,11.0,7.0,7.0,1.33,2.0,1.33,1.33,0.0,0.0,0.0,0.0,2.67,1.0,2.67,2.67,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.33,1.0,0.33,0.33,0.0,0.0,0.0,0.0,0.33,1.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Botafogo,72.4,93.18,72.4,72.4,18.5,21.0,18.5,18.5,13.5,13.0,13.5,13.5,5.0,9.0,5.0,5.0,11.0,8.0,11.0,11.0,2.0,1.0,2.0,2.0,2.5,5.0,2.5,2.5,0.0,0.0,0.0,0.0,2.25,2.0,2.25,2.25,5.5,1.0,5.5,5.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.25,5.0,1.25,1.25,1.75,1.0,1.75,1.75,1.0,1.0,1.0,1.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Botafogo,76.49,92.85,76.49,76.49,17.8,15.0,17.8,17.8,13.2,12.0,13.2,13.2,4.8,4.0,4.8,4.8,9.6,4.0,9.6,9.6,1.8,1.0,1.8,1.8,2.6,3.0,2.6,2.6,0.2,1.0,0.2,0.2,2.4,3.0,2.4,2.4,5.2,4.0,5.2,5.2,0.8,0.0,0.8,0.8,0.0,0.0,0.0,0.0,1.6,0.0,1.6,1.6,2.0,5.0,2.0,2.0,1.6,1.0,1.6,1.6,1.0,1.0,1.0,1.0,0.4,1.0,0.4,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Botafogo,71.8,48.33,73.67,71.8,18.33,21.0,18.0,18.33,14.0,18.0,12.8,14.0,5.67,10.0,5.6,5.67,11.17,19.0,11.6,11.17,2.0,3.0,1.8,2.0,2.33,1.0,2.6,2.33,0.17,0.0,0.2,0.17,2.17,1.0,2.2,2.17,4.67,2.0,4.4,4.67,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.67,2.0,1.6,1.67,1.67,0.0,2.0,1.67,1.33,0.0,1.2,1.33,0.83,0.0,0.8,0.83,0.5,1.0,0.6,0.5,0.0,0.0,0.0,0.0,0.17,0.0,0.2,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Botafogo,75.33,96.56,80.11,75.33,19.43,26.0,19.2,19.43,15.43,24.0,15.8,15.43,5.86,7.0,6.6,5.86,11.57,14.0,11.4,11.57,2.29,4.0,2.2,2.29,2.86,6.0,3.6,2.86,0.14,0.0,0.2,0.14,2.0,1.0,2.0,2.0,4.0,0.0,3.6,4.0,0.86,0.0,0.8,0.86,0.0,0.0,0.0,0.0,1.71,2.0,1.0,1.71,2.43,7.0,3.4,2.43,1.29,1.0,1.0,1.29,0.86,1.0,0.8,0.86,0.43,0.0,0.6,0.43,0.0,0.0,0.0,0.0,0.14,0.0,0.2,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Botafogo,76.76,86.75,83.53,76.76,18.0,8.0,18.2,18.0,14.62,9.0,15.2,14.62,5.88,6.0,7.2,5.88,11.5,11.0,11.2,11.5,2.25,2.0,2.2,2.25,2.88,3.0,3.6,2.88,0.25,1.0,0.4,0.25,2.0,2.0,1.8,2.0,3.62,1.0,1.6,3.62,0.75,0.0,0.4,0.75,0.0,0.0,0.0,0.0,1.75,2.0,1.2,1.75,2.88,6.0,4.6,2.88,1.38,2.0,1.0,1.38,0.88,1.0,0.8,0.88,0.38,0.0,0.4,0.38,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Botafogo,72.11,34.91,71.88,72.11,17.56,14.0,16.8,17.56,14.33,12.0,15.0,14.33,5.78,5.0,6.4,5.78,11.78,14.0,12.4,11.78,2.22,2.0,2.4,2.22,3.0,4.0,3.4,3.0,0.22,0.0,0.4,0.22,1.78,0.0,1.4,1.78,3.89,6.0,2.6,3.89,0.78,1.0,0.6,0.78,0.0,0.0,0.0,0.0,1.56,0.0,1.2,1.56,2.56,0.0,3.6,2.56,1.22,0.0,0.8,1.22,0.78,0.0,0.6,0.78,0.33,0.0,0.4,0.33,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Botafogo,73.13,82.27,69.76,73.13,17.1,13.0,16.4,17.1,14.5,16.0,15.8,14.5,6.1,9.0,7.4,6.1,11.6,10.0,13.6,11.6,2.3,3.0,2.8,2.3,3.5,8.0,4.4,3.5,0.2,0.0,0.2,0.2,1.8,2.0,1.2,1.8,3.8,3.0,2.4,3.8,0.7,0.0,0.6,0.7,0.0,0.0,0.0,0.0,1.5,1.0,1.4,1.5,2.9,6.0,3.8,2.9,1.1,0.0,0.6,1.1,0.8,1.0,0.6,0.8,0.3,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,1.0,0.2,0.1
12,Botafogo,72.8,69.51,74.0,73.84,16.55,11.0,14.4,16.2,14.36,13.0,14.8,13.8,5.64,1.0,5.6,5.6,11.36,9.0,11.6,11.6,2.18,1.0,2.4,2.1,3.36,2.0,4.6,3.6,0.18,0.0,0.2,0.2,1.73,1.0,1.2,1.7,4.18,8.0,3.6,4.0,0.64,0.0,0.2,0.6,0.0,0.0,0.0,0.0,1.55,2.0,1.4,1.5,3.18,6.0,5.0,3.5,1.0,0.0,0.6,0.9,0.82,1.0,0.8,0.8,0.36,1.0,0.2,0.4,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.0,0.2,0.1
13,Botafogo,72.63,70.82,68.85,74.48,16.33,14.0,12.0,15.6,14.25,13.0,12.6,14.2,5.42,3.0,4.8,5.7,11.83,17.0,12.2,11.8,2.25,3.0,2.2,2.2,3.17,1.0,3.6,3.6,0.17,0.0,0.2,0.2,1.67,1.0,1.2,1.6,4.25,5.0,4.6,4.1,0.58,0.0,0.2,0.5,0.0,0.0,0.0,0.0,1.42,0.0,1.0,1.0,3.42,6.0,4.8,4.1,0.92,0.0,0.4,0.7,0.83,1.0,0.8,0.8,0.33,0.0,0.2,0.4,0.08,1.0,0.2,0.1,0.08,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.08,0.0,0.2,0.1
14,Botafogo,75.18,105.73,72.65,78.09,16.69,21.0,14.6,16.4,13.92,10.0,12.8,14.0,5.38,5.0,4.6,5.9,12.0,14.0,12.8,12.0,2.23,2.0,2.2,2.2,3.23,4.0,3.8,3.7,0.15,0.0,0.0,0.2,1.69,2.0,1.2,1.5,4.23,4.0,5.2,3.4,0.54,0.0,0.2,0.3,0.0,0.0,0.0,0.0,1.31,0.0,0.6,0.9,3.62,6.0,4.8,4.7,1.0,2.0,0.4,0.7,0.85,1.0,0.8,0.8,0.31,0.0,0.2,0.3,0.08,0.0,0.2,0.1,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.2,0.1
15,Botafogo,76.0,86.65,83.0,77.44,16.29,11.0,14.0,15.4,13.79,12.0,12.8,13.9,5.43,6.0,4.8,5.6,11.64,7.0,11.4,11.9,2.36,4.0,2.6,2.5,3.29,4.0,3.8,3.6,0.14,0.0,0.0,0.2,1.71,2.0,1.6,1.5,4.21,4.0,4.8,3.7,0.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.29,1.0,0.8,1.0,3.79,6.0,6.0,4.8,1.07,2.0,0.8,0.8,0.86,1.0,1.0,0.8,0.29,0.0,0.2,0.3,0.07,0.0,0.2,0.1,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.2,0.1
16,Botafogo,76.93,89.91,84.52,77.14,16.33,17.0,14.8,15.6,13.87,15.0,12.6,14.2,5.4,5.0,4.0,5.7,11.47,9.0,11.2,12.4,2.27,1.0,2.2,2.5,3.13,1.0,2.4,3.4,0.2,1.0,0.2,0.2,1.73,2.0,1.6,1.4,4.47,8.0,5.8,4.1,0.47,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.27,1.0,0.8,1.1,3.87,5.0,5.8,4.8,1.07,1.0,1.0,0.8,0.87,1.0,1.0,0.8,0.27,0.0,0.2,0.2,0.07,0.0,0.2,0.1,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.1
17,Botafogo,75.86,59.89,82.6,78.3,16.06,12.0,15.0,14.7,14.25,20.0,14.0,14.4,5.69,10.0,5.8,5.7,12.19,23.0,14.0,12.8,2.31,3.0,2.6,2.5,3.25,5.0,3.0,3.8,0.19,0.0,0.2,0.2,1.75,2.0,1.8,1.5,4.19,0.0,4.2,3.9,0.56,2.0,0.4,0.3,0.0,0.0,0.0,0.0,1.19,0.0,0.4,0.9,3.62,0.0,4.6,4.8,1.12,2.0,1.4,1.0,0.81,0.0,0.8,0.8,0.25,0.0,0.0,0.1,0.06,0.0,0.2,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.1
18,Botafogo,76.48,86.42,85.72,77.29,16.12,17.0,15.6,13.8,14.24,14.0,14.2,13.4,5.65,5.0,6.2,5.5,12.12,11.0,12.8,12.5,2.24,1.0,2.2,2.2,3.24,3.0,3.4,3.5,0.18,0.0,0.2,0.2,1.88,4.0,2.4,1.8,4.18,4.0,4.0,4.3,0.59,1.0,0.6,0.4,0.0,0.0,0.0,0.0,1.12,0.0,0.4,0.7,3.41,0.0,3.4,4.1,1.24,3.0,2.0,1.2,0.82,1.0,0.8,0.8,0.24,0.0,0.0,0.1,0.06,0.0,0.0,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.1
19,Botafogo,75.42,57.27,76.03,74.34,16.11,16.0,14.6,14.6,13.83,7.0,13.6,13.2,5.39,1.0,5.4,5.0,12.17,13.0,12.6,12.7,2.22,2.0,2.2,2.2,3.11,1.0,2.8,3.3,0.17,0.0,0.2,0.1,1.78,0.0,2.0,1.6,4.17,4.0,4.0,4.6,0.56,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.11,1.0,0.6,0.6,3.5,5.0,3.2,4.0,1.17,0.0,1.6,1.0,0.78,0.0,0.6,0.7,0.22,0.0,0.0,0.1,0.06,0.0,0.0,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.1
20,Botafogo,75.11,69.62,72.62,77.81,16.21,18.0,16.0,15.0,13.89,15.0,14.2,13.5,5.32,4.0,5.0,4.9,12.05,10.0,13.2,12.3,2.26,3.0,2.0,2.3,3.37,8.0,3.6,3.7,0.21,1.0,0.4,0.2,1.79,2.0,2.0,1.8,4.11,3.0,3.8,4.3,0.58,1.0,0.8,0.4,0.0,0.0,0.0,0.0,1.05,0.0,0.4,0.6,3.32,0.0,2.0,4.0,1.21,2.0,1.6,1.2,0.79,1.0,0.6,0.8,0.21,0.0,0.0,0.1,0.05,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.1
21,Botafogo,74.76,68.07,68.25,76.39,16.3,18.0,16.2,15.5,13.65,9.0,13.0,12.8,5.35,6.0,5.2,4.6,12.0,11.0,13.6,12.4,2.25,2.0,2.2,2.2,3.25,1.0,3.6,3.0,0.2,0.0,0.2,0.2,1.7,0.0,1.6,1.6,4.1,4.0,3.0,4.4,0.55,0.0,0.8,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.5,3.45,6.0,2.2,4.0,1.15,0.0,1.4,1.2,0.75,0.0,0.4,0.7,0.2,0.0,0.0,0.1,0.05,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
22,Botafogo,76.84,118.49,79.97,81.29,16.76,26.0,19.0,17.0,13.67,14.0,11.8,12.9,5.24,3.0,3.8,4.8,11.9,10.0,11.0,12.5,2.24,2.0,2.0,2.3,3.19,2.0,3.0,3.0,0.24,1.0,0.4,0.3,1.76,3.0,1.8,1.8,4.19,6.0,4.2,4.2,0.52,0.0,0.4,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.4,3.52,5.0,3.2,3.9,1.24,3.0,1.6,1.5,0.76,1.0,0.6,0.7,0.19,0.0,0.0,0.0,0.05,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
23,Botafogo,74.95,35.35,69.76,77.74,16.77,17.0,19.0,17.3,13.68,14.0,11.8,13.0,5.32,7.0,4.2,5.2,11.68,7.0,10.2,11.5,2.27,3.0,2.4,2.3,3.32,6.0,3.6,3.5,0.23,0.0,0.4,0.3,1.73,1.0,1.2,1.8,4.14,3.0,4.0,4.0,0.59,2.0,0.6,0.6,0.05,1.0,0.2,0.1,1.0,1.0,0.6,0.5,3.36,0.0,3.2,3.3,1.18,0.0,1.0,1.5,0.73,0.0,0.4,0.6,0.18,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.09,1.0,0.2,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
24,Botafogo,72.56,19.85,62.28,69.15,16.39,8.0,17.4,16.0,13.61,12.0,12.8,13.2,5.17,2.0,4.4,4.9,11.74,13.0,10.2,11.4,2.22,1.0,2.2,2.2,3.22,1.0,3.6,3.2,0.22,0.0,0.4,0.3,1.65,0.0,1.2,1.6,4.17,5.0,4.2,4.1,0.61,1.0,0.8,0.7,0.04,0.0,0.2,0.1,1.0,1.0,0.6,0.6,3.22,0.0,2.2,2.7,1.13,0.0,1.0,1.3,0.7,0.0,0.4,0.5,0.17,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.09,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
25,Botafogo,70.54,24.11,53.17,62.9,16.17,11.0,16.0,16.0,13.38,8.0,11.4,12.8,5.17,5.0,4.6,4.8,12.0,18.0,11.8,12.5,2.29,4.0,2.4,2.2,3.17,2.0,2.4,3.0,0.21,0.0,0.2,0.3,1.58,0.0,0.8,1.4,4.17,4.0,4.4,4.1,0.62,1.0,0.8,0.8,0.04,0.0,0.2,0.1,1.0,1.0,0.8,0.6,3.08,0.0,2.2,2.1,1.08,0.0,0.6,1.1,0.67,0.0,0.2,0.4,0.17,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.12,1.0,0.4,0.2,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
26,Botafogo,69.49,44.29,48.42,58.34,16.04,13.0,15.0,15.6,13.56,18.0,13.2,13.1,5.16,5.0,4.4,4.8,12.12,15.0,12.6,13.1,2.36,4.0,2.8,2.5,3.24,5.0,3.2,3.4,0.24,1.0,0.4,0.3,1.56,1.0,1.0,1.3,4.08,2.0,4.0,3.5,0.64,1.0,1.0,0.9,0.04,0.0,0.2,0.1,1.0,1.0,1.0,0.6,2.96,0.0,1.0,1.6,1.08,1.0,0.8,1.1,0.64,0.0,0.2,0.3,0.16,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.12,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
27,Botafogo,70.69,100.82,44.88,62.43,16.04,16.0,13.0,16.0,13.58,14.0,13.2,12.5,5.15,5.0,4.8,4.3,12.19,14.0,13.4,12.2,2.35,2.0,2.8,2.4,3.23,3.0,3.4,3.2,0.27,1.0,0.4,0.4,1.58,2.0,0.8,1.3,4.12,5.0,3.8,4.0,0.62,0.0,1.0,0.7,0.04,0.0,0.2,0.1,1.0,1.0,1.0,0.7,3.08,6.0,1.2,2.2,1.12,2.0,0.6,1.1,0.65,1.0,0.2,0.4,0.15,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.12,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
