aproveitamento_visitante,aproveitamento_mandante,local,status_transmissao_tr,status_cronometro_tr,periodo_tr,partida_data,inicio_cronometro_tr,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,transmissao.label,transmissao.url,rodada
"['e', 'e', 'e', 'e', 'd']","['v', 'd', 'v', 'd', 'v']",Neo Química Arena,,,,2023-09-22 20:00:00,,0,1,302924,5,263,13,264,1695423600,26,True,saiba como foi,https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/22-09-2023/corinthians-botafogo.ghtml?utm_source=cartolafc,24
"['v', 'e', 'd', 'd', 'v']","['v', 'v', 'v', 'v', 'd']",Arena MRV,,,,2023-09-23 21:00:00,,0,1,302926,12,1371,3,282,1695513600,26,True,saiba como foi,https://ge.globo.com/mg/futebol/brasileirao-serie-a/jogo/23-09-2023/atletico-mg-cuiaba.ghtml?utm_source=cartolafc,24
"['e', 'e', 'e', 'v', 'd']","['v', 'v', 'd', 'v', 'd']",Kleber Andrade,,,,2023-09-13 21:30:00,,3,0,302901,8,293,4,262,1694651400,26,True,saiba como foi,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/13-09-2023/flamengo-atletico-pr.ghtml?utm_source=cartolafc,23
"['d', 'e', 'v', 'd', 'v']","['d', 'v', 'v', 'v', 'v']",Beira-Rio,,,,2023-09-13 21:30:00,,1,2,302907,11,276,9,285,1694651400,26,True,saiba como foi,https://ge.globo.com/rs/futebol/brasileirao-serie-a/jogo/13-09-2023/internacional-sao-paulo.ghtml?utm_source=cartolafc,23
"['e', 'v', 'e', 'e', 'e']","['e', 'e', 'd', 'd', 'd']",Vila Belmiro,,,,2023-09-14 19:00:00,,3,0,302904,14,283,17,277,1694728800,26,True,saiba como foi,https://ge.globo.com/sp/santos-e-regiao/futebol/brasileirao-serie-a/jogo/14-09-2023/santos-cruzeiro.ghtml?utm_source=cartolafc,23
"['v', 'd', 'v', 'd', 'v']","['e', 'e', 'v', 'v', 'v']",Castelão (CE),,,,2023-09-14 19:00:00,,1,2,302909,13,264,10,356,1694728800,26,True,saiba como foi,https://ge.globo.com/ce/futebol/brasileirao-serie-a/jogo/14-09-2023/fortaleza-corinthians.ghtml?utm_source=cartolafc,23
"['e', 'v', 'd', 'd', 'v']","['v', 'd', 'e', 'd', 'd']",Couto Pereira,,,,2023-09-14 20:00:00,,4,2,302908,16,265,19,294,1694732400,26,True,saiba como foi,https://ge.globo.com/pr/futebol/brasileirao-serie-a/jogo/14-09-2023/coritiba-bahia.ghtml?utm_source=cartolafc,23
"['d', 'd', 'v', 'v', 'v']","['d', 'd', 'd', 'v', 'd']",Nabi Abi Chedid,,,,2023-09-14 21:30:00,,0,2,302905,2,284,6,280,1694737800,26,True,saiba como foi,https://ge.globo.com/sp/vale-do-paraiba-regiao/futebol/brasileirao-serie-a/jogo/14-09-2023/bragantino-gremio.ghtml?utm_source=cartolafc,23
"['d', 'd', 'd', 'v', 'd']","['v', 'e', 'd', 'd', 'v']",Arena Pantanal,,,,2023-09-15 20:00:00,,2,2,302910,20,327,12,1371,1694818800,26,True,saiba como foi,https://ge.globo.com/mt/futebol/brasileirao-serie-a/jogo/15-09-2023/cuiaba-america-mg.ghtml?utm_source=cartolafc,23
"['d', 'd', 'd', 'd', 'v']","['v', 'e', 'v', 'v', 'e']",Allianz Parque,,,,2023-09-15 21:30:00,,0,1,302903,18,290,1,275,1694824200,26,True,saiba como foi,https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/15-09-2023/palmeiras-goias.ghtml?utm_source=cartolafc,23
"['v', 'v', 'v', 'd', 'd']","['e', 'e', 'd', 'd', 'v']",Nilton Santos (Engenhão),,,,2023-09-16 16:00:00,,2,4,302902,7,266,15,267,1694890800,26,True,saiba como foi,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/16-09-2023/vasco-fluminense.ghtml?utm_source=cartolafc,23
"['e', 'e', 'e', 'e', 'd']","['v', 'v', 'v', 'v', 'd']",Arena MRV,,,,2023-09-16 21:00:00,,0,1,302906,5,263,3,282,1694908800,26,True,saiba como foi,https://ge.globo.com/mg/futebol/brasileirao-serie-a/jogo/16-09-2023/atletico-mg-botafogo.ghtml?utm_source=cartolafc,23
"['d', 'v', 'v', 'v', 'v']","['d', 'd', 'd', 'd', 'v']",Hailé Pinheiro (Serrinha),,,,2023-09-02 16:00:00,,0,0,302875,9,285,18,290,1693681200,26,True,saiba como foi,https://ge.globo.com/go/futebol/brasileirao-serie-a/jogo/02-09-2023/goias-internacional.ghtml?utm_source=cartolafc,22
"['v', 'v', 'v', 'v', 'd']","['e', 'e', 'e', 'v', 'd']",Ligga Arena,,,,2023-09-02 16:00:00,,1,1,302878,3,282,8,293,1693681200,26,True,saiba como foi,https://ge.globo.com/pr/futebol/brasileirao-serie-a/jogo/02-09-2023/atletico-pr-atletico-mg.ghtml?utm_source=cartolafc,22
