rodada,equipe,partidas_contraAvgpontos_time,partidas_contraLastpontos_time,partidas_contraAvgMov5pontos_time,partidas_contraAvgMov10pontos_time,partidas_contraAvggols_marcados,partidas_contraLastgols_marcados,partidas_contraAvgMov5gols_marcados,partidas_contraAvgMov10gols_marcados,partidas_contraAvggols_sofridos,partidas_contraLastgols_sofridos,partidas_contraAvgMov5gols_sofridos,partidas_contraAvgMov10gols_sofridos,partidas_contraAvgsaldo_gols,partidas_contraLastsaldo_gols,partidas_contraAvgMov5saldo_gols,partidas_contraAvgMov10saldo_gols,partidas_contraAvgclassificacao,partidas_contraLastclassificacao,partidas_contraAvgMov5classificacao,partidas_contraAvgMov10classificacao,partidas_contraAvgSG_Atq,partidas_contraLastSG_Atq,partidas_contraAvgMov5SG_Atq,partidas_contraAvgMov10SG_Atq,partidas_contraAvgSG_def,partidas_contraLastSG_def,partidas_contraAvgMov5SG_def,partidas_contraAvgMov10SG_def,partidas_contraAvgclassificacao_adv,partidas_contraLastclassificacao_adv,partidas_contraAvgMov5classificacao_adv,partidas_contraAvgMov10classificacao_adv
20,Bragantino,0.63,1.0,0.6,0.6,1.32,1.0,0.8,1.1,0.95,0.0,0.6,0.9,0.37,1.0,0.2,0.2,10.26,6.0,11.2,9.6,0.26,0.0,0.4,0.3,0.37,1.0,0.8,0.4,15.0,15.0,15.0,15.0
21,Botafogo,0.6,0.0,0.4,0.55,1.25,0.0,0.4,0.9,1.1,4.0,1.4,1.1,0.15,-4.0,-1.0,-0.2,9.95,4.0,10.6,8.3,0.3,1.0,0.6,0.4,0.35,0.0,0.6,0.4,15.0,15.0,15.0,15.0
22,Vasco,0.62,1.0,0.5,0.65,1.33,3.0,1.0,1.2,1.05,0.0,1.4,1.0,0.29,3.0,-0.4,0.2,9.52,1.0,8.0,8.1,0.29,0.0,0.4,0.3,0.38,1.0,0.6,0.5,15.0,15.0,15.0,15.0
23,Coritiba,0.61,0.5,0.5,0.6,1.32,1.0,1.2,1.1,1.05,1.0,1.6,1.0,0.27,0.0,-0.4,0.1,9.82,16.0,9.4,8.9,0.27,0.0,0.2,0.3,0.36,0.0,0.4,0.5,15.0,15.0,15.0,15.0
24,Santos,0.59,0.0,0.5,0.5,1.35,2.0,1.4,1.1,1.17,4.0,1.8,1.3,0.17,-2.0,-0.4,-0.2,10.22,19.0,9.2,10.6,0.26,0.0,0.2,0.3,0.35,0.0,0.4,0.5,15.0,15.0,15.0,15.0
25,Flamengo,0.6,1.0,0.5,0.55,1.38,2.0,1.6,1.2,1.17,1.0,2.0,1.3,0.21,1.0,-0.4,-0.1,10.33,13.0,10.6,10.9,0.25,0.0,0.2,0.3,0.33,0.0,0.2,0.5,15.0,15.0,15.0,15.0
26,Goiás,0.62,1.0,0.7,0.55,1.36,1.0,1.8,1.1,1.12,0.0,1.2,1.3,0.24,1.0,0.6,-0.2,10.12,5.0,10.8,10.7,0.24,0.0,0.0,0.3,0.36,1.0,0.4,0.5,15.0,15.0,15.0,15.0
27,Internacional,0.6,0.0,0.5,0.5,1.46,4.0,2.0,1.5,1.31,6.0,2.4,1.9,0.15,-2.0,-0.4,-0.4,10.42,18.0,14.2,11.1,0.23,0.0,0.0,0.2,0.35,0.0,0.2,0.4,15.0,15.0,15.0,15.0
28,Fortaleza,0.57,0.0,0.4,0.45,1.41,0.0,1.8,1.5,1.3,1.0,2.4,2.0,0.11,-1.0,-0.6,-0.5,10.48,12.0,13.4,11.4,0.26,1.0,0.2,0.2,0.33,0.0,0.2,0.3,15.0,15.0,15.0,15.0
29,Cruzeiro,0.55,0.0,0.4,0.45,1.36,0.0,1.4,1.4,1.32,2.0,2.0,1.9,0.04,-2.0,-0.6,-0.5,10.5,11.0,11.8,10.5,0.29,1.0,0.4,0.3,0.32,0.0,0.2,0.3,15.0,15.0,15.0,15.0
30,Palmeiras,0.57,1.0,0.4,0.45,1.41,3.0,1.6,1.6,1.28,0.0,1.8,1.9,0.14,3.0,-0.2,-0.3,10.72,17.0,12.6,11.6,0.28,0.0,0.4,0.3,0.34,1.0,0.4,0.3,15.0,15.0,15.0,15.0
31,Fluminense,0.58,1.0,0.4,0.55,1.4,1.0,1.6,1.7,1.23,0.0,1.8,1.5,0.17,1.0,-0.2,0.2,10.47,3.0,12.2,11.5,0.27,0.0,0.4,0.2,0.37,1.0,0.4,0.4,15.0,15.0,15.0,15.0
32,Grêmio,0.56,0.0,0.4,0.45,1.35,0.0,0.8,1.4,1.23,1.0,0.8,1.6,0.13,-1.0,0.0,-0.2,10.39,8.0,10.2,12.2,0.29,1.0,0.6,0.3,0.35,0.0,0.4,0.3,15.0,15.0,15.0,15.0
33,Cuiabá,0.58,1.0,0.6,0.5,1.34,1.0,1.0,1.4,1.19,0.0,0.6,1.5,0.16,1.0,0.4,-0.1,10.12,2.0,8.2,10.8,0.28,0.0,0.4,0.3,0.38,1.0,0.6,0.4,15.0,15.0,15.0,15.0
34,Athlético-PR,0.59,1.0,0.8,0.6,1.39,3.0,1.6,1.5,1.15,0.0,0.2,1.1,0.24,3.0,1.4,0.4,10.12,10.0,8.0,9.9,0.27,0.0,0.2,0.3,0.39,1.0,0.8,0.5,15.0,15.0,15.0,15.0
35,Corinthians,0.59,0.5,0.7,0.55,1.39,,1.25,1.44,1.15,,0.25,1.11,0.24,,1.0,0.33,10.03,7.0,6.0,9.3,0.26,0.0,0.2,0.3,0.38,0.0,0.6,0.5,15.0,15.0,15.0,15.0
36,São Paulo,0.59,0.5,0.6,0.5,1.39,,1.33,1.5,1.15,,0.33,1.25,0.24,,1.0,0.25,9.74,0.0,5.4,8.8,0.26,0.0,0.2,0.3,0.37,0.0,0.4,0.4,14.57,0.0,12.0,13.5
37,América-MG,0.58,0.5,0.7,0.55,1.39,,2.0,1.14,1.15,,0.0,0.57,0.24,,2.0,0.57,9.47,0.0,3.8,7.0,0.25,0.0,0.0,0.3,0.36,0.0,0.4,0.4,14.17,0.0,9.0,12.0
38,Atlético-MG,0.58,0.5,0.6,0.6,1.39,,3.0,1.33,1.15,,0.0,0.5,0.24,,3.0,0.83,9.22,0.0,3.4,5.8,0.24,0.0,0.0,0.2,0.35,0.0,0.2,0.4,13.78,0.0,6.0,10.5
1,São Paulo,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2,Bahia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
3,Flamengo,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,12.0,15.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
4,Atlético-MG,0.0,0.0,0.0,0.0,1.33,2.0,1.33,1.33,2.33,3.0,2.33,2.33,-1.0,-1.0,-1.0,-1.0,9.67,5.0,9.67,9.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
5,Corinthians,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.25,2.0,2.25,2.25,-1.25,-2.0,-1.25,-1.25,8.75,6.0,8.75,8.75,0.25,1.0,0.25,0.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
6,Goiás,0.0,0.0,0.0,0.0,0.8,0.0,0.8,0.8,2.4,3.0,2.4,2.4,-1.6,-3.0,-1.6,-1.6,9.8,14.0,9.8,9.8,0.4,1.0,0.4,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
7,Fluminense,0.17,1.0,0.2,0.17,1.0,2.0,1.0,1.0,2.17,1.0,2.2,2.17,-1.17,1.0,-1.2,-1.17,11.17,18.0,11.6,11.17,0.33,0.0,0.4,0.33,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
8,América-MG,0.14,0.0,0.2,0.14,0.86,0.0,0.8,0.86,2.0,1.0,2.0,2.0,-1.14,-1.0,-1.2,-1.14,10.71,8.0,10.2,10.71,0.43,1.0,0.6,0.43,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
9,Athlético-PR,0.12,0.0,0.2,0.12,0.75,0.0,0.4,0.75,2.0,2.0,1.8,2.0,-1.25,-2.0,-1.4,-1.25,11.88,20.0,13.2,11.88,0.5,1.0,0.8,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
10,Fortaleza,0.22,1.0,0.4,0.22,0.78,1.0,0.6,0.78,1.78,0.0,1.4,1.78,-1.0,1.0,-0.8,-1.0,11.33,7.0,13.4,11.33,0.44,0.0,0.6,0.44,0.11,1.0,0.2,0.11,1.0,1.0,1.0,1.0
11,Cuiabá,0.2,0.0,0.4,0.2,0.7,0.0,0.6,0.7,1.8,2.0,1.2,1.8,-1.1,-2.0,-0.6,-1.1,11.3,11.0,12.8,11.3,0.5,1.0,0.6,0.5,0.1,0.0,0.2,0.1,1.0,1.0,1.0,1.0
12,Palmeiras,0.18,0.0,0.2,0.2,0.64,0.0,0.2,0.6,1.73,1.0,1.2,1.7,-1.09,-1.0,-1.0,-1.1,11.18,10.0,11.2,11.4,0.55,1.0,0.8,0.6,0.09,0.0,0.2,0.1,1.0,1.0,1.0,1.0
13,Vasco,0.17,0.0,0.2,0.2,0.58,0.0,0.2,0.5,1.67,1.0,1.2,1.6,-1.08,-1.0,-1.0,-1.1,10.5,3.0,10.2,10.2,0.58,1.0,0.8,0.7,0.08,0.0,0.2,0.1,1.0,1.0,1.0,1.0
14,Grêmio,0.15,0.0,0.2,0.2,0.54,0.0,0.2,0.3,1.69,2.0,1.2,1.5,-1.15,-2.0,-1.0,-1.2,10.92,16.0,9.4,11.3,0.62,1.0,0.8,0.8,0.08,0.0,0.2,0.1,1.0,1.0,1.0,1.0
15,Bragantino,0.14,0.0,0.0,0.2,0.5,0.0,0.0,0.3,1.71,2.0,1.6,1.5,-1.21,-2.0,-1.6,-1.2,10.29,2.0,8.4,10.9,0.64,1.0,1.0,0.8,0.07,0.0,0.0,0.1,1.0,1.0,1.0,1.0
16,Santos,0.13,0.0,0.0,0.2,0.47,0.0,0.0,0.3,1.73,2.0,1.6,1.4,-1.27,-2.0,-1.6,-1.1,9.87,4.0,7.0,9.9,0.67,1.0,1.0,0.8,0.07,0.0,0.0,0.1,1.0,1.0,1.0,1.0
17,Coritiba,0.16,0.5,0.1,0.15,0.56,2.0,0.4,0.3,1.75,2.0,1.8,1.5,-1.19,0.0,-1.4,-1.2,10.06,13.0,7.6,9.4,0.62,0.0,0.8,0.8,0.06,0.0,0.0,0.1,1.0,1.0,1.0,1.0
18,Cruzeiro,0.15,0.0,0.1,0.15,0.59,1.0,0.6,0.4,1.88,4.0,2.4,1.8,-1.29,-3.0,-1.8,-1.4,10.59,19.0,10.8,10.5,0.59,0.0,0.6,0.7,0.06,0.0,0.0,0.1,1.0,1.0,1.0,1.0
19,Internacional,0.17,0.5,0.2,0.2,0.56,0.0,0.6,0.4,1.78,0.0,2.0,1.6,-1.22,0.0,-1.4,-1.2,10.94,17.0,11.0,10.2,0.61,1.0,0.6,0.7,0.11,1.0,0.2,0.2,1.0,1.0,1.0,1.0
20,São Paulo,0.16,0.0,0.2,0.1,0.58,1.0,0.8,0.4,1.84,3.0,2.2,1.9,-1.26,-2.0,-1.4,-1.5,11.0,12.0,13.0,10.7,0.58,0.0,0.4,0.7,0.11,0.0,0.2,0.1,1.0,1.0,1.0,1.0
21,Bahia,0.18,0.5,0.3,0.15,0.55,0.0,0.8,0.4,1.75,0.0,1.8,1.7,-1.2,0.0,-1.0,-1.3,10.9,9.0,14.0,10.5,0.6,1.0,0.4,0.7,0.15,1.0,0.4,0.2,1.0,1.0,1.0,1.0
22,Flamengo,0.17,0.0,0.2,0.15,0.52,0.0,0.4,0.4,1.81,3.0,2.0,1.9,-1.29,-3.0,-1.6,-1.5,11.1,15.0,14.4,11.0,0.62,1.0,0.6,0.7,0.14,0.0,0.4,0.2,1.0,1.0,1.0,1.0
23,Atlético-MG,0.2,1.0,0.4,0.25,0.59,2.0,0.6,0.6,1.77,1.0,1.4,1.9,-1.18,1.0,-0.8,-1.3,10.82,5.0,11.6,11.2,0.59,0.0,0.6,0.6,0.14,0.0,0.4,0.2,1.0,1.0,1.0,1.0
24,Corinthians,0.24,1.0,0.5,0.35,0.61,1.0,0.8,0.7,1.7,0.0,1.4,1.7,-1.09,1.0,-0.6,-1.0,10.61,6.0,9.4,10.2,0.57,0.0,0.4,0.5,0.17,1.0,0.4,0.3,1.0,1.0,1.0,1.0
25,Goiás,0.27,1.0,0.7,0.45,0.62,1.0,0.8,0.8,1.62,0.0,0.8,1.5,-1.0,1.0,0.0,-0.7,10.75,14.0,9.8,11.4,0.54,0.0,0.4,0.4,0.21,1.0,0.6,0.4,1.0,1.0,1.0,1.0
26,Fluminense,0.28,0.5,0.7,0.5,0.64,1.0,1.0,0.9,1.6,1.0,1.0,1.4,-0.96,0.0,0.0,-0.5,11.04,18.0,11.6,12.8,0.52,0.0,0.2,0.3,0.2,0.0,0.4,0.4,1.0,1.0,1.0,1.0
27,América-MG,0.27,0.0,0.7,0.45,0.62,0.0,1.0,0.7,1.62,2.0,0.8,1.4,-1.0,-2.0,0.2,-0.7,10.92,8.0,10.2,12.3,0.54,1.0,0.2,0.4,0.19,0.0,0.4,0.4,1.0,1.0,1.0,1.0
28,Athlético-PR,0.26,0.0,0.5,0.45,0.63,1.0,0.8,0.7,1.63,2.0,1.0,1.2,-1.0,-1.0,-0.2,-0.5,11.26,20.0,13.2,12.4,0.52,0.0,0.2,0.4,0.19,0.0,0.4,0.4,1.0,1.0,1.0,1.0
29,Fortaleza,0.27,0.5,0.4,0.45,0.64,1.0,0.8,0.8,1.61,1.0,1.2,1.3,-0.96,0.0,-0.4,-0.5,11.11,7.0,13.4,11.4,0.5,0.0,0.2,0.3,0.18,0.0,0.2,0.3,1.0,1.0,1.0,1.0
30,Cuiabá,0.28,0.5,0.3,0.5,0.64,1.0,0.75,0.78,1.61,0.0,1.5,1.11,-0.96,1.0,-0.75,-0.33,11.1,11.0,12.8,11.3,0.48,0.0,0.2,0.3,0.17,0.0,0.0,0.3,1.0,1.0,1.0,1.0
31,Palmeiras,0.3,1.0,0.4,0.55,0.66,1.0,0.75,0.89,1.55,0.0,1.25,1.11,-0.9,1.0,-0.5,-0.22,11.07,10.0,11.2,11.4,0.47,0.0,0.2,0.2,0.2,1.0,0.2,0.3,1.0,1.0,1.0,1.0
32,Vasco,0.32,1.0,0.6,0.65,0.77,4.0,1.75,1.33,1.6,3.0,1.5,1.11,-0.83,1.0,0.25,0.22,10.81,3.0,10.2,10.2,0.45,0.0,0.0,0.1,0.19,0.0,0.2,0.3,1.0,1.0,1.0,1.0
33,Grêmio,0.34,1.0,0.8,0.65,0.77,1.0,1.75,1.22,1.55,0.0,1.0,1.0,-0.77,1.0,0.75,0.22,10.97,16.0,9.4,11.3,0.44,0.0,0.0,0.1,0.22,1.0,0.4,0.4,1.0,1.0,1.0,1.0
34,Bragantino,0.36,1.0,0.9,0.65,0.88,4.0,2.5,1.56,1.59,3.0,1.5,1.33,-0.72,1.0,1.0,0.22,10.7,2.0,8.4,10.9,0.42,0.0,0.0,0.1,0.21,0.0,0.4,0.3,1.0,1.0,1.0,1.0
35,Santos,0.37,0.5,0.9,0.6,0.88,,2.5,1.62,1.59,,1.5,1.5,-0.72,,1.0,0.12,10.5,4.0,7.0,9.9,0.41,0.0,0.0,0.1,0.21,0.0,0.4,0.2,1.0,1.0,1.0,1.0
36,Coritiba,0.37,0.5,0.8,0.6,0.88,,3.0,1.71,1.59,,2.0,1.57,-0.72,,1.0,0.14,10.2,0.0,5.0,8.1,0.4,0.0,0.0,0.1,0.2,0.0,0.2,0.2,0.97,0.0,0.8,0.9
37,Cruzeiro,0.38,0.5,0.7,0.65,0.88,,2.5,2.0,1.59,,1.5,1.5,-0.72,,1.0,0.5,9.92,0.0,4.4,7.3,0.39,0.0,0.0,0.0,0.19,0.0,0.2,0.2,0.94,0.0,0.6,0.8
38,Internacional,0.38,0.5,0.6,0.7,0.88,,4.0,2.2,1.59,,3.0,1.4,-0.72,,1.0,0.8,9.65,0.0,1.2,5.3,0.38,0.0,0.0,0.0,0.19,0.0,0.0,0.2,0.92,0.0,0.4,0.7
1,Bahia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0
2,Cuiabá,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0
3,Cruzeiro,0.25,0.5,0.25,0.25,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.5,-0.5,0.0,-0.5,-0.5,12.5,10.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0
4,Grêmio,0.5,1.0,0.5,0.5,1.67,3.0,1.67,1.67,1.0,0.0,1.0,1.0,0.67,3.0,0.67,0.67,14.0,17.0,14.0,14.0,0.0,0.0,0.0,0.0,0.33,1.0,0.33,0.33,4.0,4.0,4.0,4.0
5,América-MG,0.5,0.5,0.5,0.5,2.0,3.0,2.0,2.0,1.5,3.0,1.5,1.5,0.5,0.0,0.5,0.5,11.0,2.0,11.0,11.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,4.0,4.0,4.0,4.0
6,Palmeiras,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,1.6,2.0,1.6,1.6,0.4,0.0,0.4,0.4,12.8,20.0,12.8,12.8,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,4.0,4.0,4.0,4.0
7,Athlético-PR,0.5,0.5,0.6,0.5,1.83,1.0,2.0,1.83,1.5,1.0,1.4,1.5,0.33,0.0,0.6,0.33,11.17,3.0,10.4,11.17,0.0,0.0,0.0,0.0,0.17,0.0,0.2,0.17,4.0,4.0,4.0,4.0
8,Santos,0.43,0.0,0.5,0.43,1.57,0.0,1.8,1.57,1.57,2.0,1.6,1.57,0.0,-2.0,0.2,0.0,10.57,7.0,9.8,10.57,0.14,1.0,0.2,0.14,0.14,0.0,0.2,0.14,4.0,4.0,4.0,4.0
9,Fluminense,0.38,0.0,0.3,0.38,1.38,0.0,1.2,1.38,1.62,2.0,2.0,1.62,-0.25,-2.0,-0.8,-0.25,10.88,13.0,9.0,10.88,0.25,1.0,0.4,0.25,0.12,0.0,0.0,0.12,4.0,4.0,4.0,4.0
10,Atlético-MG,0.44,1.0,0.4,0.44,1.44,2.0,1.0,1.44,1.56,1.0,1.6,1.56,-0.11,1.0,-0.6,-0.11,10.56,8.0,10.2,10.56,0.22,0.0,0.4,0.22,0.11,0.0,0.0,0.11,4.0,4.0,4.0,4.0
11,Flamengo,0.45,0.5,0.4,0.45,1.4,1.0,0.8,1.4,1.5,1.0,1.4,1.5,-0.1,0.0,-0.6,-0.1,10.1,6.0,7.4,10.1,0.2,0.0,0.4,0.2,0.1,0.0,0.0,0.1,4.0,4.0,4.0,4.0
12,Goiás,0.41,0.0,0.3,0.45,1.27,0.0,0.6,1.3,1.73,4.0,2.0,1.7,-0.45,-4.0,-1.4,-0.4,9.64,5.0,7.8,9.1,0.27,1.0,0.6,0.3,0.09,0.0,0.0,0.1,4.0,4.0,4.0,4.0
13,Corinthians,0.38,0.0,0.3,0.4,1.17,0.0,0.6,1.2,1.75,2.0,2.0,1.8,-0.58,-2.0,-1.4,-0.6,10.33,18.0,10.0,9.9,0.33,1.0,0.6,0.4,0.08,0.0,0.0,0.1,4.0,4.0,4.0,4.0
14,São Paulo,0.35,0.0,0.3,0.3,1.08,0.0,0.6,0.9,1.69,1.0,1.8,1.9,-0.62,-1.0,-1.2,-1.0,10.62,14.0,10.2,9.6,0.38,1.0,0.6,0.5,0.08,0.0,0.0,0.0,4.0,4.0,4.0,4.0
15,Botafogo,0.36,0.5,0.2,0.3,1.0,0.0,0.2,0.6,1.57,0.0,1.6,1.6,-0.57,0.0,-1.4,-1.0,10.5,9.0,10.4,10.3,0.43,1.0,0.8,0.6,0.14,1.0,0.2,0.1,4.0,4.0,4.0,4.0
16,Internacional,0.4,1.0,0.3,0.35,1.07,2.0,0.4,0.6,1.47,0.0,1.4,1.4,-0.4,2.0,-1.0,-0.8,9.87,1.0,9.4,8.4,0.4,0.0,0.8,0.6,0.2,1.0,0.4,0.2,4.0,4.0,4.0,4.0
17,Fortaleza,0.41,0.5,0.4,0.35,1.0,0.0,0.4,0.5,1.38,0.0,0.6,1.3,-0.38,0.0,-0.2,-0.8,10.0,12.0,10.8,9.3,0.44,1.0,0.8,0.7,0.25,1.0,0.6,0.3,4.0,4.0,4.0,4.0
18,Coritiba,0.38,0.0,0.4,0.35,0.94,0.0,0.4,0.5,1.47,3.0,0.8,1.4,-0.53,-3.0,-0.4,-0.9,10.06,11.0,9.4,9.7,0.47,1.0,0.8,0.7,0.24,0.0,0.6,0.3,4.0,4.0,4.0,4.0
19,Vasco,0.36,0.0,0.4,0.35,0.89,0.0,0.4,0.5,1.44,1.0,0.8,1.3,-0.56,-1.0,-0.4,-0.8,10.56,19.0,10.4,10.3,0.5,1.0,0.8,0.7,0.22,0.0,0.6,0.3,4.0,4.0,4.0,4.0
20,Bahia,0.37,0.5,0.4,0.3,0.89,1.0,0.6,0.4,1.42,1.0,1.0,1.3,-0.53,0.0,-0.4,-0.9,10.84,16.0,11.8,11.1,0.47,0.0,0.6,0.7,0.21,0.0,0.4,0.3,4.0,4.0,4.0,4.0
21,Cuiabá,0.4,1.0,0.4,0.35,1.05,4.0,1.0,0.7,1.35,0.0,1.0,1.2,-0.3,4.0,0.0,-0.5,11.05,15.0,14.6,12.0,0.45,0.0,0.6,0.7,0.25,1.0,0.4,0.4,4.0,4.0,4.0,4.0
22,Cruzeiro,0.38,0.0,0.3,0.35,1.0,0.0,1.0,0.7,1.38,2.0,1.4,1.0,-0.38,-2.0,-0.4,-0.3,11.0,10.0,14.2,12.5,0.48,1.0,0.6,0.7,0.24,0.0,0.2,0.4,4.0,4.0,4.0,4.0
23,Grêmio,0.39,0.5,0.4,0.4,0.95,0.0,1.0,0.7,1.32,0.0,0.8,0.8,-0.36,0.0,0.2,-0.1,11.27,17.0,15.4,12.4,0.5,1.0,0.6,0.7,0.27,1.0,0.4,0.5,4.0,4.0,4.0,4.0
24,América-MG,0.37,0.0,0.4,0.4,0.91,0.0,1.0,0.7,1.35,2.0,1.0,0.9,-0.43,-2.0,0.0,-0.2,10.87,2.0,12.0,11.2,0.52,1.0,0.6,0.7,0.26,0.0,0.4,0.5,4.0,4.0,4.0,4.0
25,Palmeiras,0.35,0.0,0.3,0.35,0.88,0.0,0.8,0.7,1.38,2.0,1.2,1.1,-0.5,-2.0,-0.4,-0.4,11.25,20.0,12.8,12.3,0.54,1.0,0.8,0.7,0.25,0.0,0.4,0.4,4.0,4.0,4.0,4.0
26,Athlético-PR,0.34,0.0,0.1,0.25,0.88,1.0,0.2,0.6,1.4,2.0,1.6,1.3,-0.52,-1.0,-1.4,-0.7,10.92,3.0,10.4,12.5,0.52,0.0,0.8,0.7,0.24,0.0,0.2,0.3,4.0,4.0,4.0,4.0
27,Santos,0.35,0.5,0.2,0.25,0.88,1.0,0.4,0.7,1.38,1.0,1.4,1.4,-0.5,0.0,-1.0,-0.7,10.77,7.0,9.8,12.0,0.5,0.0,0.6,0.6,0.23,0.0,0.2,0.2,4.0,4.0,4.0,4.0
28,Fluminense,0.33,0.0,0.1,0.25,0.89,1.0,0.6,0.8,1.44,3.0,2.0,1.4,-0.56,-2.0,-1.4,-0.6,10.85,13.0,9.0,12.2,0.48,0.0,0.4,0.5,0.22,0.0,0.0,0.2,4.0,4.0,4.0,4.0
29,Atlético-MG,0.32,0.0,0.1,0.25,0.86,0.0,0.6,0.8,1.43,1.0,1.8,1.4,-0.57,-1.0,-1.2,-0.6,10.75,8.0,10.2,11.1,0.5,1.0,0.4,0.5,0.21,0.0,0.0,0.2,4.0,4.0,4.0,4.0
30,Flamengo,0.34,1.0,0.3,0.3,0.9,2.0,1.0,0.9,1.41,1.0,1.6,1.4,-0.52,1.0,-0.6,-0.5,10.59,6.0,7.4,10.1,0.48,0.0,0.2,0.5,0.21,0.0,0.0,0.2,4.0,4.0,4.0,4.0
31,Goiás,0.35,0.5,0.4,0.25,0.9,0.0,1.0,0.56,1.41,2.0,1.5,1.56,-0.52,-2.0,-0.5,-1.0,10.4,5.0,7.8,9.1,0.47,0.0,0.2,0.5,0.2,0.0,0.0,0.1,4.0,4.0,4.0,4.0
32,Corinthians,0.34,0.0,0.3,0.25,0.87,0.0,0.75,0.56,1.43,2.0,1.75,1.56,-0.57,-2.0,-1.0,-1.0,10.65,18.0,10.0,9.9,0.48,1.0,0.4,0.5,0.19,0.0,0.0,0.1,4.0,4.0,4.0,4.0
33,São Paulo,0.33,0.0,0.3,0.2,0.84,0.0,0.5,0.56,1.42,1.0,1.25,1.67,-0.58,-1.0,-0.75,-1.11,10.75,14.0,10.2,9.6,0.5,1.0,0.6,0.5,0.19,0.0,0.0,0.0,4.0,4.0,4.0,4.0
34,Botafogo,0.35,1.0,0.5,0.3,0.84,1.0,0.75,0.67,1.38,0.0,1.0,1.44,-0.53,1.0,-0.25,-0.78,10.7,9.0,10.4,10.3,0.48,0.0,0.4,0.4,0.21,1.0,0.2,0.1,4.0,4.0,4.0,4.0
35,Internacional,0.35,0.5,0.4,0.35,0.84,,0.33,0.75,1.38,,1.0,1.38,-0.53,,-0.67,-0.62,10.41,1.0,9.4,8.4,0.47,0.0,0.4,0.3,0.21,0.0,0.2,0.1,4.0,4.0,4.0,4.0
36,Fortaleza,0.36,0.5,0.4,0.4,0.84,,0.33,0.71,1.38,,1.0,1.29,-0.53,,-0.67,-0.57,10.11,0.0,8.4,8.1,0.46,0.0,0.4,0.3,0.2,0.0,0.2,0.1,3.89,0.0,3.2,3.6
37,Coritiba,0.36,0.5,0.5,0.4,0.84,,0.5,0.67,1.38,,0.5,1.33,-0.53,,0.0,-0.67,9.83,0.0,4.8,7.4,0.44,0.0,0.2,0.3,0.19,0.0,0.2,0.1,3.78,0.0,2.4,3.2
38,Vasco,0.36,0.5,0.6,0.45,0.84,,1.0,0.6,1.38,,0.0,1.0,-0.53,,1.0,-0.4,9.57,0.0,2.0,6.1,0.43,0.0,0.0,0.3,0.19,0.0,0.2,0.1,3.68,0.0,1.6,2.8
1,Cruzeiro,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0
2,Goiás,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0
