rodada,equipe,partidas_contraAvgpontos_time,partidas_contraLastpontos_time,partidas_contraAvgMov5pontos_time,partidas_contraAvgMov10pontos_time,partidas_contraAvggols_marcados,partidas_contraLastgols_marcados,partidas_contraAvgMov5gols_marcados,partidas_contraAvgMov10gols_marcados,partidas_contraAvggols_sofridos,partidas_contraLastgols_sofridos,partidas_contraAvgMov5gols_sofridos,partidas_contraAvgMov10gols_sofridos,partidas_contraAvgsaldo_gols,partidas_contraLastsaldo_gols,partidas_contraAvgMov5saldo_gols,partidas_contraAvgMov10saldo_gols,partidas_contraAvgclassificacao,partidas_contraLastclassificacao,partidas_contraAvgMov5classificacao,partidas_contraAvgMov10classificacao,partidas_contraAvgSG_Atq,partidas_contraLastSG_Atq,partidas_contraAvgMov5SG_Atq,partidas_contraAvgMov10SG_Atq,partidas_contraAvgSG_def,partidas_contraLastSG_def,partidas_contraAvgMov5SG_def,partidas_contraAvgMov10SG_def,partidas_contraAvgclassificacao_adv,partidas_contraLastclassificacao_adv,partidas_contraAvgMov5classificacao_adv,partidas_contraAvgMov10classificacao_adv
27,Grêmio,0.42,0.5,0.4,0.4,1.15,1.0,1.0,1.2,1.46,1.0,1.4,1.6,-0.31,0.0,-0.4,-0.4,10.58,4.0,9.2,11.2,0.31,0.0,0.2,0.2,0.15,0.0,0.2,0.1,7.0,7.0,7.0,7.0
28,Botafogo,0.41,0.0,0.3,0.35,1.15,1.0,1.0,1.0,1.48,2.0,1.6,1.5,-0.33,-1.0,-0.6,-0.5,10.26,2.0,8.4,9.7,0.3,0.0,0.2,0.2,0.15,0.0,0.2,0.1,7.0,7.0,7.0,7.0
29,América-MG,0.41,0.5,0.4,0.35,1.14,1.0,1.2,1.0,1.46,1.0,1.2,1.5,-0.32,0.0,0.0,-0.5,9.93,1.0,7.6,8.5,0.29,0.0,0.0,0.2,0.14,0.0,0.2,0.1,7.0,7.0,7.0,7.0
30,São Paulo,0.4,0.0,0.4,0.35,1.17,2.0,1.4,1.2,1.52,3.0,1.4,1.6,-0.34,-1.0,0.0,-0.4,10.28,20.0,9.2,9.5,0.28,0.0,0.0,0.1,0.14,0.0,0.2,0.1,7.0,7.0,7.0,7.0
31,Corinthians,0.4,0.5,0.3,0.35,1.17,1.0,1.2,1.2,1.5,1.0,1.6,1.6,-0.33,0.0,-0.4,-0.4,10.23,9.0,7.2,8.6,0.27,0.0,0.0,0.1,0.13,0.0,0.0,0.1,7.0,7.0,7.0,7.0
32,Palmeiras,0.42,1.0,0.4,0.4,1.16,1.0,1.2,1.1,1.45,0.0,1.4,1.4,-0.29,1.0,-0.2,-0.3,10.35,14.0,9.2,9.2,0.26,0.0,0.0,0.1,0.16,1.0,0.2,0.2,7.0,7.0,7.0,7.0
33,Fortaleza,0.44,1.0,0.6,0.45,1.16,1.0,1.2,1.1,1.41,0.0,1.0,1.3,-0.25,1.0,0.2,-0.2,10.12,3.0,9.4,8.9,0.25,0.0,0.0,0.1,0.19,1.0,0.4,0.3,7.0,7.0,7.0,7.0
34,Bahia,0.44,0.5,0.6,0.5,1.15,1.0,1.2,1.2,1.39,1.0,1.0,1.1,-0.24,0.0,0.2,0.1,10.15,11.0,11.4,9.5,0.24,0.0,0.0,0.0,0.18,0.0,0.4,0.3,7.0,7.0,7.0,7.0
35,Vasco,0.44,0.5,0.7,0.55,1.15,,1.0,1.22,1.39,,0.5,1.0,-0.24,,0.5,0.22,10.29,15.0,10.4,9.8,0.24,0.0,0.0,0.0,0.18,0.0,0.4,0.3,7.0,7.0,7.0,7.0
36,Cruzeiro,0.44,0.5,0.7,0.5,1.15,,1.0,1.12,1.39,,0.33,1.12,-0.24,,0.67,0.0,10.0,0.0,8.6,7.9,0.23,0.0,0.0,0.0,0.17,0.0,0.4,0.2,6.8,0.0,5.6,6.3
37,Santos,0.44,0.5,0.6,0.5,1.15,,1.0,1.14,1.39,,0.5,1.14,-0.24,,0.5,0.0,9.72,0.0,5.8,7.5,0.22,0.0,0.0,0.0,0.17,0.0,0.2,0.2,6.61,0.0,4.2,5.6
38,Cuiabá,0.45,0.5,0.5,0.55,1.15,,1.0,1.17,1.39,,1.0,1.0,-0.24,,0.0,0.17,9.46,0.0,5.2,7.3,0.22,0.0,0.0,0.0,0.16,0.0,0.0,0.2,6.43,0.0,2.8,4.9
1,Vasco,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0
2,Santos,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0
3,Athlético-PR,0.75,0.5,0.75,0.75,1.0,0.0,1.0,1.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,14.5,13.0,14.5,14.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,6.0,6.0,6.0,6.0
4,Botafogo,0.5,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,-1.0,0.0,0.0,12.0,7.0,12.0,12.0,0.33,0.0,0.33,0.33,0.33,0.0,0.33,0.33,6.0,6.0,6.0,6.0
5,Cuiabá,0.62,1.0,0.62,0.62,1.25,2.0,1.25,1.25,0.75,0.0,0.75,0.75,0.5,2.0,0.5,0.5,9.25,1.0,9.25,9.25,0.25,0.0,0.25,0.25,0.5,1.0,0.5,0.5,6.0,6.0,6.0,6.0
6,Internacional,0.5,0.0,0.5,0.5,1.0,0.0,1.0,1.0,1.4,4.0,1.4,1.4,-0.4,-4.0,-0.4,-0.4,9.4,10.0,9.4,9.4,0.4,1.0,0.4,0.4,0.4,0.0,0.4,0.4,6.0,6.0,6.0,6.0
7,Coritiba,0.42,0.0,0.3,0.42,0.83,0.0,0.6,0.83,1.5,2.0,1.6,1.5,-0.67,-2.0,-1.0,-0.67,9.83,12.0,8.6,9.83,0.5,1.0,0.6,0.5,0.33,0.0,0.4,0.33,6.0,6.0,6.0,6.0
8,Palmeiras,0.36,0.0,0.2,0.36,0.86,1.0,0.8,0.86,1.57,2.0,2.0,1.57,-0.71,-1.0,-1.2,-0.71,11.14,19.0,9.8,11.14,0.43,0.0,0.4,0.43,0.29,0.0,0.2,0.29,6.0,6.0,6.0,6.0
9,Cruzeiro,0.38,0.5,0.3,0.38,0.88,1.0,0.8,0.88,1.5,1.0,1.8,1.5,-0.62,0.0,-1.0,-0.62,10.12,3.0,9.0,10.12,0.38,0.0,0.4,0.38,0.25,0.0,0.2,0.25,6.0,6.0,6.0,6.0
10,Bragantino,0.33,0.0,0.1,0.33,0.78,0.0,0.4,0.78,1.44,1.0,2.0,1.44,-0.67,-1.0,-1.6,-0.67,10.89,17.0,12.2,10.89,0.44,1.0,0.6,0.44,0.22,0.0,0.0,0.22,6.0,6.0,6.0,6.0
11,Fluminense,0.35,0.5,0.2,0.35,0.8,1.0,0.6,0.8,1.4,1.0,1.4,1.4,-0.6,0.0,-0.8,-0.6,10.2,4.0,11.0,10.2,0.4,0.0,0.4,0.4,0.2,0.0,0.0,0.2,6.0,6.0,6.0,6.0
12,Fortaleza,0.36,0.5,0.3,0.3,0.82,1.0,0.8,0.7,1.36,1.0,1.2,1.4,-0.55,0.0,-0.4,-0.7,10.0,8.0,10.2,9.4,0.36,0.0,0.2,0.4,0.18,0.0,0.0,0.2,6.0,6.0,6.0,6.0
13,América-MG,0.42,1.0,0.5,0.35,0.92,2.0,1.0,0.9,1.33,1.0,1.0,1.5,-0.42,1.0,0.0,-0.6,10.08,11.0,8.6,9.2,0.33,0.0,0.2,0.3,0.17,0.0,0.0,0.1,6.0,6.0,6.0,6.0
14,Corinthians,0.42,0.5,0.5,0.4,1.0,2.0,1.2,1.0,1.38,2.0,1.2,1.5,-0.38,0.0,0.0,-0.5,10.85,20.0,12.0,10.5,0.31,0.0,0.2,0.3,0.15,0.0,0.0,0.1,6.0,6.0,6.0,6.0
15,Goiás,0.46,1.0,0.7,0.4,1.0,1.0,1.4,0.9,1.29,0.0,1.0,1.5,-0.29,1.0,0.4,-0.6,11.07,14.0,11.4,11.8,0.29,0.0,0.0,0.3,0.21,1.0,0.2,0.1,6.0,6.0,6.0,6.0
16,Grêmio,0.47,0.5,0.7,0.45,0.93,0.0,1.2,0.9,1.2,0.0,0.8,1.1,-0.27,0.0,0.4,-0.2,11.53,18.0,14.2,12.6,0.33,1.0,0.2,0.3,0.27,1.0,0.4,0.2,6.0,6.0,6.0,6.0
17,Flamengo,0.5,1.0,0.8,0.55,0.94,1.0,1.2,1.0,1.12,0.0,0.6,0.9,-0.19,1.0,0.6,0.1,10.94,2.0,13.0,11.6,0.31,0.0,0.2,0.2,0.31,1.0,0.6,0.3,6.0,6.0,6.0,6.0
18,São Paulo,0.53,1.0,0.8,0.65,1.0,2.0,1.2,1.1,1.12,1.0,0.6,0.8,-0.12,1.0,0.6,0.3,10.59,5.0,11.8,10.2,0.29,0.0,0.2,0.2,0.29,0.0,0.6,0.3,6.0,6.0,6.0,6.0
19,Bahia,0.5,0.0,0.7,0.6,0.94,0.0,0.8,1.0,1.17,2.0,0.6,0.9,-0.22,-2.0,0.2,0.1,10.5,9.0,9.6,10.8,0.33,1.0,0.4,0.3,0.28,0.0,0.6,0.3,6.0,6.0,6.0,6.0
20,Vasco,0.47,0.0,0.5,0.6,0.89,0.0,0.6,1.0,1.16,1.0,0.8,0.9,-0.26,-1.0,-0.2,0.1,10.74,15.0,9.8,10.6,0.37,1.0,0.6,0.3,0.26,0.0,0.4,0.3,6.0,6.0,6.0,6.0
21,Santos,0.5,1.0,0.6,0.65,0.9,1.0,0.8,1.0,1.1,0.0,0.8,0.8,-0.2,1.0,0.0,0.2,11.0,16.0,9.4,11.8,0.35,0.0,0.4,0.3,0.3,1.0,0.4,0.4,6.0,6.0,6.0,6.0
22,Athlético-PR,0.48,0.0,0.4,0.6,0.86,0.0,0.6,0.9,1.14,2.0,1.2,0.9,-0.29,-2.0,-0.6,0.0,11.1,13.0,11.6,12.3,0.38,1.0,0.6,0.4,0.29,0.0,0.2,0.4,6.0,6.0,6.0,6.0
23,Botafogo,0.48,0.5,0.3,0.55,0.86,1.0,0.4,0.8,1.14,1.0,1.2,0.9,-0.27,0.0,-0.8,-0.1,10.91,7.0,12.0,11.9,0.36,0.0,0.6,0.4,0.27,0.0,0.2,0.4,6.0,6.0,6.0,6.0
24,Cuiabá,0.46,0.0,0.3,0.5,0.83,0.0,0.4,0.6,1.13,1.0,1.0,0.8,-0.3,-1.0,-0.6,-0.2,10.48,1.0,10.4,10.0,0.39,1.0,0.6,0.5,0.26,0.0,0.2,0.4,6.0,6.0,6.0,6.0
25,Internacional,0.44,0.0,0.3,0.4,0.79,0.0,0.4,0.5,1.12,1.0,1.0,0.9,-0.33,-1.0,-0.6,-0.4,10.46,10.0,9.4,9.6,0.42,1.0,0.6,0.6,0.25,0.0,0.2,0.3,6.0,6.0,6.0,6.0
26,Coritiba,0.42,0.0,0.1,0.35,0.76,0.0,0.2,0.5,1.16,2.0,1.4,1.1,-0.4,-2.0,-1.2,-0.6,10.52,12.0,8.6,9.0,0.44,1.0,0.8,0.6,0.24,0.0,0.0,0.2,6.0,6.0,6.0,6.0
27,Palmeiras,0.44,1.0,0.3,0.35,0.81,2.0,0.6,0.6,1.15,1.0,1.2,1.2,-0.35,1.0,-0.6,-0.6,10.85,19.0,9.8,10.7,0.42,0.0,0.6,0.6,0.23,0.0,0.0,0.1,6.0,6.0,6.0,6.0
28,Cruzeiro,0.43,0.0,0.2,0.25,0.78,0.0,0.4,0.4,1.19,2.0,1.4,1.3,-0.41,-2.0,-1.0,-0.9,10.56,3.0,9.0,10.5,0.44,1.0,0.8,0.7,0.22,0.0,0.0,0.1,6.0,6.0,6.0,6.0
29,Bragantino,0.45,1.0,0.4,0.35,0.79,1.0,0.6,0.5,1.14,0.0,1.2,1.1,-0.36,1.0,-0.6,-0.6,10.79,17.0,12.2,11.3,0.43,0.0,0.6,0.6,0.25,1.0,0.2,0.2,6.0,6.0,6.0,6.0
30,Fluminense,0.43,0.0,0.4,0.35,0.79,1.0,0.8,0.6,1.17,2.0,1.4,1.2,-0.38,-1.0,-0.6,-0.6,10.55,4.0,11.0,10.2,0.41,0.0,0.4,0.5,0.24,0.0,0.2,0.2,6.0,6.0,6.0,6.0
31,Fortaleza,0.42,0.0,0.4,0.25,0.77,0.0,0.8,0.5,1.2,2.0,1.4,1.4,-0.43,-2.0,-0.6,-0.9,10.47,8.0,10.2,9.4,0.43,1.0,0.4,0.6,0.23,0.0,0.2,0.1,6.0,6.0,6.0,6.0
32,América-MG,0.4,0.0,0.2,0.25,0.77,1.0,0.6,0.6,1.26,3.0,1.8,1.5,-0.48,-2.0,-1.2,-0.9,10.48,11.0,8.6,9.2,0.42,0.0,0.4,0.5,0.23,0.0,0.2,0.1,6.0,6.0,6.0,6.0
33,Corinthians,0.41,0.5,0.3,0.25,0.78,1.0,0.8,0.6,1.25,1.0,1.6,1.5,-0.47,0.0,-0.8,-0.9,10.78,20.0,12.0,10.5,0.41,0.0,0.2,0.5,0.22,0.0,0.2,0.1,6.0,6.0,6.0,6.0
34,Goiás,0.41,0.5,0.2,0.3,0.79,1.0,0.8,0.7,1.24,1.0,1.8,1.5,-0.45,0.0,-1.0,-0.8,10.88,14.0,11.4,11.8,0.39,0.0,0.2,0.4,0.21,0.0,0.0,0.1,6.0,6.0,6.0,6.0
35,Grêmio,0.41,0.5,0.3,0.35,0.79,,0.75,0.78,1.24,,1.75,1.56,-0.45,,-1.0,-0.78,11.09,18.0,14.2,12.6,0.38,0.0,0.2,0.3,0.21,0.0,0.0,0.1,6.0,6.0,6.0,6.0
36,Flamengo,0.41,0.5,0.4,0.4,0.79,,1.0,0.88,1.24,,1.67,1.5,-0.45,,-0.67,-0.62,10.77,0.0,12.6,11.4,0.37,0.0,0.0,0.2,0.2,0.0,0.0,0.1,5.83,0.0,4.8,5.4
37,São Paulo,0.42,0.5,0.5,0.35,0.79,,1.0,0.71,1.24,,1.0,1.57,-0.45,,0.0,-0.86,10.47,0.0,10.4,9.5,0.36,0.0,0.0,0.2,0.19,0.0,0.0,0.1,5.67,0.0,3.6,4.8
38,Bahia,0.42,0.5,0.5,0.4,0.79,,1.0,0.83,1.24,,1.0,1.5,-0.45,,0.0,-0.67,10.19,0.0,6.4,9.2,0.35,0.0,0.0,0.1,0.19,0.0,0.0,0.1,5.51,0.0,2.4,4.2
1,Bragantino,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0
2,Botafogo,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0
3,Vasco,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,1.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0
4,Coritiba,0.67,0.0,0.67,0.67,1.33,0.0,1.33,1.33,1.0,1.0,1.0,1.0,0.33,-1.0,0.33,0.33,7.0,16.0,7.0,7.0,0.33,1.0,0.33,0.33,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0
5,Santos,0.5,0.0,0.5,0.5,1.25,1.0,1.25,1.25,1.5,3.0,1.5,1.5,-0.25,-2.0,-0.25,-0.25,10.0,19.0,10.0,10.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0
6,Flamengo,0.6,1.0,0.6,0.6,1.6,3.0,1.6,1.6,1.2,0.0,1.2,1.2,0.4,3.0,0.4,0.4,10.6,13.0,10.6,10.6,0.2,0.0,0.2,0.2,0.2,1.0,0.2,0.2,15.0,15.0,15.0,15.0
7,Goiás,0.67,1.0,0.6,0.67,1.83,3.0,1.8,1.83,1.33,2.0,1.4,1.33,0.5,1.0,0.4,0.5,9.67,5.0,10.8,9.67,0.17,0.0,0.2,0.17,0.17,0.0,0.2,0.17,15.0,15.0,15.0,15.0
