rodada,posicao,equipe,setor_proAvgpontuacao,setor_proLastpontuacao,setor_proAvgMov5pontuacao,setor_proAvgMov10pontuacao,setor_proAvgDS,setor_proLastDS,setor_proAvgMov5DS,setor_proAvgMov10DS,setor_proAvgFC,setor_proLastFC,setor_proAvgMov5FC,setor_proAvgMov10FC,setor_proAvgFF,setor_proLastFF,setor_proAvgMov5FF,setor_proAvgMov10FF,setor_proAvgFS,setor_proLastFS,setor_proAvgMov5FS,setor_proAvgMov10FS,setor_proAvgCA,setor_proLastCA,setor_proAvgMov5CA,setor_proAvgMov10CA,setor_proAvgFD,setor_proLastFD,setor_proAvgMov5FD,setor_proAvgMov10FD,setor_proAvgFT,setor_proLastFT,setor_proAvgMov5FT,setor_proAvgMov10FT,setor_proAvgG,setor_proLastG,setor_proAvgMov5G,setor_proAvgMov10G,setor_proAvgDE,setor_proLastDE,setor_proAvgMov5DE,setor_proAvgMov10DE,setor_proAvgGS,setor_proLastGS,setor_proAvgMov5GS,setor_proAvgMov10GS,setor_proAvgGC,setor_proLastGC,setor_proAvgMov5GC,setor_proAvgMov10GC,setor_proAvgI,setor_proLastI,setor_proAvgMov5I,setor_proAvgMov10I,setor_proAvgSG,setor_proLastSG,setor_proAvgMov5SG,setor_proAvgMov10SG,setor_proAvgA,setor_proLastA,setor_proAvgMov5A,setor_proAvgMov10A,setor_proAvgV,setor_proLastV,setor_proAvgMov5V,setor_proAvgMov10V,setor_proAvgPS,setor_proLastPS,setor_proAvgMov5PS,setor_proAvgMov10PS,setor_proAvgPC,setor_proLastPC,setor_proAvgMov5PC,setor_proAvgMov10PC,setor_proAvgCV,setor_proLastCV,setor_proAvgMov5CV,setor_proAvgMov10CV,setor_proAvgDP,setor_proLastDP,setor_proAvgMov5DP,setor_proAvgMov10DP,setor_proAvgPP,setor_proLastPP,setor_proAvgMov5PP,setor_proAvgMov10PP
5,Meia,Botafogo,19.38,16.9,19.38,19.38,6.0,11.0,6.0,6.0,5.75,5.0,5.75,5.75,2.0,5.0,2.0,2.0,5.5,2.0,5.5,5.5,0.5,1.0,0.5,0.5,0.25,1.0,0.25,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Meia,Botafogo,20.14,23.2,20.14,20.14,5.8,5.0,5.8,5.8,5.6,5.0,5.6,5.6,2.0,2.0,2.0,2.0,4.6,1.0,4.6,4.6,0.4,0.0,0.4,0.4,0.8,3.0,0.8,0.8,0.0,0.0,0.0,0.0,0.8,1.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Meia,Botafogo,18.38,9.6,17.44,18.38,5.5,4.0,5.2,5.5,5.5,5.0,4.8,5.5,2.0,2.0,1.8,2.0,5.0,7.0,4.8,5.0,0.33,0.0,0.2,0.33,0.83,1.0,1.0,0.83,0.0,0.0,0.0,0.0,0.67,0.0,0.6,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.6,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Meia,Botafogo,16.84,7.6,15.82,16.84,5.57,6.0,5.8,5.57,6.43,12.0,6.6,6.43,1.86,1.0,2.0,1.86,5.14,6.0,4.0,5.14,0.43,1.0,0.4,0.43,0.86,1.0,1.2,0.86,0.0,0.0,0.0,0.0,0.57,0.0,0.4,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.6,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Meia,Botafogo,16.54,14.4,14.34,16.54,5.0,1.0,5.4,5.0,6.0,3.0,6.0,6.0,2.0,3.0,2.6,2.0,5.12,5.0,4.2,5.12,0.38,0.0,0.4,0.38,0.88,1.0,1.4,0.88,0.12,1.0,0.2,0.12,0.5,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,1.0,0.4,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Meia,Botafogo,15.07,3.3,11.62,15.07,4.56,1.0,3.4,4.56,6.22,8.0,6.6,6.22,2.0,2.0,2.0,2.0,4.89,3.0,4.4,4.89,0.44,1.0,0.4,0.44,1.0,2.0,1.6,1.0,0.11,0.0,0.2,0.11,0.44,0.0,0.2,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.4,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Meia,Botafogo,14.4,8.4,8.66,14.4,4.5,4.0,3.2,4.5,6.1,5.0,6.6,6.1,2.1,3.0,2.2,2.1,4.9,5.0,5.2,4.9,0.5,1.0,0.6,0.5,1.0,1.0,1.2,1.0,0.1,0.0,0.2,0.1,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Meia,Botafogo,13.59,5.5,7.84,12.64,4.18,1.0,2.6,3.9,5.73,2.0,6.0,5.4,1.91,0.0,1.8,1.8,4.91,5.0,4.8,4.8,0.45,0.0,0.6,0.4,1.09,2.0,1.4,1.2,0.09,0.0,0.2,0.1,0.36,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Meia,Botafogo,12.99,6.4,7.6,11.71,4.17,4.0,2.2,4.0,5.67,5.0,4.6,5.6,1.92,2.0,2.0,2.0,5.08,7.0,5.0,4.5,0.58,2.0,0.8,0.6,1.0,0.0,1.2,1.2,0.08,0.0,0.2,0.1,0.33,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Meia,Botafogo,12.98,12.8,7.28,10.81,4.08,3.0,2.6,4.0,5.31,1.0,4.2,5.1,1.85,1.0,1.6,2.1,5.23,7.0,5.4,4.8,0.62,1.0,1.0,0.7,1.0,1.0,1.2,1.3,0.08,0.0,0.0,0.1,0.31,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,1.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
