rodada,posicao,equipe,setor_proAvgpontuacao,setor_proLastpontuacao,setor_proAvgMov5pontuacao,setor_proAvgMov10pontuacao,setor_proAvgDS,setor_proLastDS,setor_proAvgMov5DS,setor_proAvgMov10DS,setor_proAvgFC,setor_proLastFC,setor_proAvgMov5FC,setor_proAvgMov10FC,setor_proAvgFF,setor_proLastFF,setor_proAvgMov5FF,setor_proAvgMov10FF,setor_proAvgFS,setor_proLastFS,setor_proAvgMov5FS,setor_proAvgMov10FS,setor_proAvgCA,setor_proLastCA,setor_proAvgMov5CA,setor_proAvgMov10CA,setor_proAvgFD,setor_proLastFD,setor_proAvgMov5FD,setor_proAvgMov10FD,setor_proAvgFT,setor_proLastFT,setor_proAvgMov5FT,setor_proAvgMov10FT,setor_proAvgG,setor_proLastG,setor_proAvgMov5G,setor_proAvgMov10G,setor_proAvgDE,setor_proLastDE,setor_proAvgMov5DE,setor_proAvgMov10DE,setor_proAvgGS,setor_proLastGS,setor_proAvgMov5GS,setor_proAvgMov10GS,setor_proAvgGC,setor_proLastGC,setor_proAvgMov5GC,setor_proAvgMov10GC,setor_proAvgI,setor_proLastI,setor_proAvgMov5I,setor_proAvgMov10I,setor_proAvgSG,setor_proLastSG,setor_proAvgMov5SG,setor_proAvgMov10SG,setor_proAvgA,setor_proLastA,setor_proAvgMov5A,setor_proAvgMov10A,setor_proAvgV,setor_proLastV,setor_proAvgMov5V,setor_proAvgMov10V,setor_proAvgPS,setor_proLastPS,setor_proAvgMov5PS,setor_proAvgMov10PS,setor_proAvgPC,setor_proLastPC,setor_proAvgMov5PC,setor_proAvgMov10PC,setor_proAvgCV,setor_proLastCV,setor_proAvgMov5CV,setor_proAvgMov10CV,setor_proAvgDP,setor_proLastDP,setor_proAvgMov5DP,setor_proAvgMov10DP,setor_proAvgPP,setor_proLastPP,setor_proAvgMov5PP,setor_proAvgMov10PP
1,Atacante,América-MG,11.5,11.5,11.5,11.5,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Atacante,América-MG,11.5,11.5,11.5,11.5,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Atacante,América-MG,11.85,12.2,11.85,11.85,3.0,3.0,3.0,3.0,4.5,2.0,4.5,4.5,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,0.5,1.0,0.5,0.5,2.5,4.0,2.5,2.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Atacante,América-MG,15.2,21.9,15.2,15.2,3.33,4.0,3.33,3.33,3.33,1.0,3.33,3.33,3.0,1.0,3.0,3.0,3.67,7.0,3.67,3.67,0.67,1.0,0.67,0.67,2.0,1.0,2.0,2.0,0.67,0.0,0.67,0.67,0.33,1.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,1.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Atacante,América-MG,17.3,23.6,17.3,17.3,3.0,2.0,3.0,3.0,2.75,1.0,2.75,2.75,3.0,3.0,3.0,3.0,3.75,4.0,3.75,3.75,0.75,1.0,0.75,0.75,2.0,2.0,2.0,2.0,0.75,1.0,0.75,0.75,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,1.5,1.5,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Atacante,América-MG,17.56,18.6,17.56,17.56,2.6,1.0,2.6,2.6,3.2,5.0,3.2,3.2,2.8,2.0,2.8,2.8,4.0,5.0,4.0,4.0,0.8,1.0,0.8,0.8,1.6,0.0,1.6,1.6,0.6,0.0,0.6,0.6,0.8,2.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.0,1.6,1.6,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Atacante,América-MG,16.27,9.8,17.22,16.27,2.5,2.0,2.4,2.5,3.67,6.0,3.0,3.67,3.33,6.0,2.8,3.33,3.83,3.0,4.2,3.83,0.83,1.0,1.0,0.83,1.5,1.0,1.6,1.5,0.67,1.0,0.6,0.67,0.67,0.0,0.8,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,3.0,2.2,1.83,0.0,0.0,0.0,0.0,0.33,0.0,0.4,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Atacante,América-MG,16.81,20.1,18.8,16.81,2.43,2.0,2.2,2.43,3.86,5.0,3.6,3.86,3.43,4.0,3.2,3.43,3.57,2.0,4.2,3.57,0.86,1.0,1.0,0.86,1.29,0.0,0.8,1.29,0.71,1.0,0.6,0.71,0.71,1.0,1.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,1.8,1.57,0.0,0.0,0.0,0.0,0.43,1.0,0.6,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Atacante,América-MG,14.79,0.6,14.54,14.79,2.12,0.0,1.4,2.12,3.75,3.0,4.0,3.75,3.0,0.0,3.0,3.0,3.5,3.0,3.4,3.5,0.88,1.0,1.0,0.88,1.25,1.0,0.8,1.25,0.62,0.0,0.6,0.62,0.62,0.0,0.8,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,2.0,2.0,1.62,0.0,0.0,0.0,0.0,0.38,0.0,0.4,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Atacante,América-MG,15.44,20.7,13.96,15.44,2.44,5.0,2.0,2.44,3.78,4.0,4.6,3.78,3.0,3.0,3.0,3.0,3.78,6.0,3.8,3.78,0.78,0.0,0.8,0.78,1.44,3.0,1.0,1.44,0.56,0.0,0.4,0.56,0.67,1.0,0.8,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,1.0,1.6,1.56,0.0,0.0,0.0,0.0,0.33,0.0,0.2,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,1.0,0.2,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Atacante,América-MG,15.63,17.3,13.7,15.63,2.5,3.0,2.4,2.5,3.8,4.0,4.4,3.8,2.7,0.0,2.6,2.7,4.0,6.0,4.0,4.0,0.8,1.0,0.8,0.8,1.8,5.0,2.0,1.8,0.6,1.0,0.6,0.6,0.7,1.0,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.4,1.5,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.2,0.1
12,Atacante,América-MG,14.76,6.1,12.96,15.09,2.45,2.0,2.4,2.4,3.73,3.0,3.8,3.4,2.45,0.0,1.4,2.1,3.73,1.0,3.6,3.9,0.73,0.0,0.6,0.8,1.73,1.0,2.0,1.8,0.64,1.0,0.6,0.6,0.64,0.0,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,1.0,1.0,1.6,0.0,0.0,0.0,0.0,0.27,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.2,0.1
13,Atacante,América-MG,14.28,8.9,10.72,14.76,2.5,3.0,2.6,2.4,3.92,6.0,4.0,3.8,2.42,2.0,1.0,2.1,3.5,1.0,3.4,3.8,0.67,0.0,0.4,0.7,1.58,0.0,2.0,1.4,0.58,0.0,0.4,0.5,0.58,0.0,0.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,1.0,1.4,0.0,0.0,0.0,0.0,0.33,1.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.2,0.1
14,Atacante,América-MG,14.56,18.0,14.2,14.37,2.31,0.0,2.6,2.0,3.85,3.0,4.0,4.0,2.62,5.0,2.0,2.5,3.23,0.0,2.8,3.1,0.69,1.0,0.4,0.7,1.46,0.0,1.8,1.3,0.54,0.0,0.4,0.5,0.69,2.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,1.0,0.8,1.4,0.0,0.0,0.0,0.0,0.31,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.2,0.1
16,Atacante,América-MG,14.11,8.3,11.72,12.84,2.29,2.0,2.0,2.0,3.79,3.0,3.8,4.2,2.57,2.0,1.8,2.4,3.29,4.0,2.4,3.1,0.71,1.0,0.6,0.7,1.43,1.0,1.4,1.2,0.57,1.0,0.6,0.5,0.64,0.0,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.6,1.1,0.0,0.0,0.0,0.0,0.29,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.2,0.1
17,Atacante,América-MG,14.01,12.6,10.78,12.24,2.2,1.0,1.6,2.0,3.8,4.0,3.8,4.1,2.53,2.0,2.2,2.4,3.33,4.0,2.0,3.0,0.73,1.0,0.6,0.7,1.47,2.0,0.8,1.4,0.53,0.0,0.4,0.5,0.67,1.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,4.0,1.2,1.3,0.0,0.0,0.0,0.0,0.27,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.1
18,Atacante,América-MG,13.79,10.4,11.64,12.3,2.31,4.0,2.0,2.2,3.69,2.0,3.6,3.7,2.5,2.0,2.6,2.0,3.38,4.0,2.6,3.1,0.75,1.0,0.8,0.7,1.56,3.0,1.2,1.6,0.5,0.0,0.2,0.4,0.62,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.1
19,Atacante,América-MG,13.84,14.6,12.78,11.75,2.41,4.0,2.2,2.4,3.94,8.0,4.0,4.0,2.41,1.0,2.4,1.7,3.59,7.0,3.8,3.6,0.76,1.0,1.0,0.7,1.53,1.0,1.4,1.7,0.47,0.0,0.2,0.3,0.65,1.0,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,3.0,1.6,1.3,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.1
20,Atacante,América-MG,13.53,8.3,10.84,12.52,2.39,2.0,2.6,2.6,3.78,1.0,3.6,3.8,2.44,3.0,2.0,2.0,3.56,3.0,4.4,3.6,0.72,0.0,0.8,0.6,1.56,2.0,1.8,1.8,0.44,0.0,0.2,0.3,0.61,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,1.0,1.6,1.2,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.1
21,Atacante,América-MG,14.14,25.1,14.2,12.96,2.63,7.0,3.6,2.8,3.95,7.0,4.4,4.1,2.47,3.0,2.2,2.0,3.58,4.0,4.4,3.4,0.74,1.0,0.8,0.7,1.58,2.0,2.0,1.7,0.42,0.0,0.0,0.3,0.63,1.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,1.6,1.1,0.0,0.0,0.0,0.0,0.26,1.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.1
22,Atacante,América-MG,14.18,14.9,14.66,12.72,2.6,2.0,3.8,2.7,3.9,3.0,4.2,4.0,2.35,0.0,1.8,2.0,3.55,3.0,4.2,3.1,0.75,1.0,0.8,0.7,1.5,0.0,1.6,1.2,0.4,0.0,0.0,0.2,0.7,2.0,0.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.0,1.0,1.1,0.0,0.0,0.0,0.0,0.25,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,1.0,0.2,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
23,Atacante,América-MG,14.48,20.6,16.7,14.17,2.67,4.0,3.8,2.9,3.9,4.0,4.6,4.1,2.33,2.0,1.8,2.2,3.52,3.0,4.0,3.3,0.71,0.0,0.6,0.7,1.48,1.0,1.2,1.2,0.38,0.0,0.0,0.1,0.71,1.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,3.0,1.6,1.3,0.0,0.0,0.0,0.0,0.29,1.0,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
25,Atacante,América-MG,14.26,9.7,15.72,14.25,2.59,1.0,3.2,2.7,3.86,3.0,3.6,3.8,2.27,1.0,1.8,2.1,3.5,3.0,3.2,3.5,0.77,2.0,0.8,0.9,1.45,1.0,1.2,1.3,0.36,0.0,0.0,0.1,0.73,1.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,1.0,1.2,1.4,0.0,0.0,0.0,0.0,0.27,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
26,Atacante,América-MG,13.95,7.1,15.48,13.16,2.48,0.0,2.8,2.7,3.7,0.0,3.4,3.5,2.35,4.0,2.0,2.0,3.48,3.0,3.2,3.8,0.74,0.0,0.8,0.8,1.48,2.0,1.2,1.5,0.35,0.0,0.0,0.1,0.7,0.0,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.0,1.3,0.0,0.0,0.0,0.0,0.26,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
27,Atacante,América-MG,14.45,26.0,15.66,14.93,2.42,1.0,1.6,2.6,3.71,4.0,2.8,3.6,2.38,3.0,2.0,2.1,3.46,3.0,3.0,3.7,0.71,0.0,0.6,0.7,1.46,1.0,1.0,1.5,0.33,0.0,0.0,0.0,0.75,2.0,1.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,1.0,1.2,1.4,0.0,0.0,0.0,0.0,0.29,1.0,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
28,Atacante,América-MG,14.52,16.2,15.92,15.29,2.36,1.0,1.4,2.6,3.56,0.0,2.2,3.2,2.48,5.0,3.0,2.4,3.44,3.0,3.0,3.6,0.68,0.0,0.4,0.6,1.56,4.0,1.8,1.7,0.32,0.0,0.0,0.0,0.72,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,3.0,1.6,1.3,0.0,0.0,0.0,0.0,0.32,1.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
29,Atacante,América-MG,14.07,2.6,12.32,14.51,2.31,1.0,0.8,2.3,3.5,2.0,1.8,3.2,2.42,1.0,2.8,2.3,3.38,2.0,2.8,3.4,0.69,1.0,0.6,0.6,1.54,1.0,1.8,1.5,0.31,0.0,0.0,0.0,0.69,0.0,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,0.0,1.0,1.3,0.0,0.0,0.0,0.0,0.31,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
30,Atacante,América-MG,13.99,12.1,12.8,14.26,2.22,0.0,0.6,1.9,3.44,2.0,1.6,2.6,2.37,1.0,2.8,2.3,3.37,3.0,2.8,3.0,0.67,0.0,0.2,0.5,1.56,2.0,2.0,1.6,0.3,0.0,0.0,0.0,0.7,1.0,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.3,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
31,Atacante,América-MG,14.14,18.1,15.0,15.24,2.14,0.0,0.6,1.7,3.36,1.0,1.8,2.6,2.39,3.0,2.6,2.3,3.25,0.0,2.2,2.7,0.64,0.0,0.2,0.5,1.5,0.0,1.6,1.4,0.29,0.0,0.0,0.0,0.75,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.8,0.9,0.0,0.0,0.0,0.0,0.29,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
32,Atacante,América-MG,13.72,2.1,10.22,12.94,2.1,1.0,0.6,1.1,3.24,0.0,1.0,1.9,2.31,0.0,2.0,2.0,3.21,2.0,2.0,2.5,0.62,0.0,0.2,0.4,1.45,0.0,1.4,1.2,0.28,0.0,0.0,0.0,0.72,0.0,0.6,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.28,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
33,Atacante,América-MG,13.72,13.5,9.68,12.8,2.1,2.0,0.8,1.1,3.23,3.0,1.6,1.9,2.27,1.0,1.2,2.1,3.23,4.0,2.2,2.6,0.6,0.0,0.2,0.3,1.43,1.0,0.8,1.3,0.27,0.0,0.0,0.0,0.73,1.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.2,0.9,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
1,Goleiro,América-MG,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,Goleiro,América-MG,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
3,Goleiro,América-MG,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.0,3.5,3.5,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0
4,Goleiro,América-MG,2.67,0.0,2.67,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.0,3.33,3.33,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.0,0.0,0.0,0.0
5,Goleiro,América-MG,1.92,-0.3,1.92,1.92,0.0,0.0,0.0,0.0,0.25,1.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,4.0,3.5,3.5,2.5,1.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0
6,Goleiro,América-MG,3.04,7.5,3.04,3.04,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,1.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,9.0,4.6,4.6,2.4,2.0,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0
