apelido,foto,pontuacao,posicao_id,clube_id,entrou_em_campo,A,DS,FS,FC,FD,FF,PS,CA,G,PC,SG,I,DE,V,GS,CV,FT,scout,rodada,DP,GC,PP
Pedro Henrique,https://s.sde.globo.com/media/person_role/2022/04/12/5422d339b6546dc0505e80e10b027269_FORMATO.png,10.5,5.0,285.0,True,,,,1.0,,1.0,,1.0,1.0,,,,,,,,1.0,,36,,,
Vitor Hugo,https://s.sde.globo.com/media/person_role/2023/04/14/photo_FORMATO_HuEb513.png,-0.3,3.0,265.0,True,,,,1.0,,,,,,,,,,,,,,,36,,,
Fernandinho,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_X6EpiKc.png,0.0,4.0,293.0,True,,,,,,,,,,,,,,,,,,,36,,,
Mercado,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_rOFNbA7.png,5.5,3.0,285.0,True,,,,1.0,,1.0,,,,,1.0,,,,,,,,36,,,
Bruno Alves,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_QXt8Pw7.png,0.9,3.0,284.0,True,,1.0,,1.0,,,,,,,,,,,,,,,36,,,
Guilherme Marques,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_8U4l1F1.png,4.1,5.0,290.0,True,,3.0,,2.0,1.0,,,,,,,1.0,,,,,,,36,,,
Madson,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_UA5MZDv.png,1.2,2.0,293.0,True,,1.0,,,,,,,,,,,,,,,,,36,,,
Everaldo,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_8pHdjST.png,0.5,5.0,265.0,True,,,1.0,,,,,,,,,,,,,,,,36,,,
Renê,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_8lPW5dD.png,7.1,2.0,285.0,True,,2.0,,1.0,,,,,,,1.0,,,,,,,,36,,,
Jonathan Cafu,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_7bHRcHm.png,0.9,5.0,1371.0,True,,,2.0,3.0,,1.0,,,,,,,,,,,,,36,,,
Reinaldo,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_YOXKUlg.png,1.7,2.0,284.0,True,,,1.0,,1.0,,,,,,,,,,,,,,36,,,
Thiago Santos,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_xMjWx6h.png,0.6,4.0,266.0,True,,1.0,2.0,2.0,,,,1.0,,,,,,,,,,,36,,,
Víctor Cuesta,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_iLUMfpx.png,6.2,3.0,263.0,True,,5.0,,2.0,,1.0,,,,,,,,,,,,,36,,,
Filipe Augusto,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_S95pz8G.png,0.0,4.0,1371.0,True,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,36,,,
Cano,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_CKcA05y.png,8.4,5.0,266.0,True,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,36,,,
Lucas Silva,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_YrS5yhK.png,0.8,4.0,283.0,True,,,,,,1.0,,,,,,,,,,,,,36,,,
Yago Pikachu,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_jUc4EZ2.png,9.5,4.0,356.0,True,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,36,,,
Luciano,https://s.sde.globo.com/media/person_role/2022/03/01/aeb1926a6ddb270206f4ceffcf701d4b_FORMATO.png,1.2,5.0,276.0,True,,,,,1.0,,,,,,,,,,,,,,36,,,
Gilberto,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_2XeJymB.png,5.0,2.0,265.0,True,,3.0,,2.0,1.0,1.0,,,,,,,,,,,,,36,,,
Lucas Mugni,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_t30cY72.png,1.0,4.0,265.0,True,,,,,1.0,1.0,,1.0,,,,,,,,,,,36,,,
Alisson,https://s.sde.globo.com/media/person_role/2022/03/01/14ebdbca4e280cd9dfdb9b7e2148afe0_FORMATO.png,1.4,4.0,276.0,True,,,1.0,1.0,1.0,,,,,,,,,,,,,,36,,,
João Ricardo,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_KgJZuxA.png,2.5,1.0,356.0,True,,,1.0,,,,,1.0,,,,,4.0,,1.0,,,,36,,,
Willian Oliveira,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_9raWzET.png,3.2,4.0,290.0,True,,1.0,4.0,,,,,,,,,,,,,,,,36,,,
Juninho,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_C3jHgzm.png,1.4,4.0,327.0,True,,1.0,1.0,1.0,,,,,,,,,,,,,,,36,,,
Tadeu,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_jSvkpAL.png,4.0,1.0,290.0,True,,,,,,,,,,,,,6.0,,2.0,,,,36,,,
Zé Rafael,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_XlK02hD.png,5.7,4.0,275.0,True,,3.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,36,,,
Otávio,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_y7upQyC.png,4.5,4.0,282.0,True,,3.0,,1.0,1.0,,,,,,,,,,,,,,36,,,
Luiz Araújo,https://s.sde.globo.com/media/person_role/2023/07/03/photo_FORMATO.png,2.4,5.0,262.0,True,,2.0,,,,,,,,,,,,,,,,,36,,,
Tinga,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_kUpus9a.png,2.4,2.0,356.0,True,,2.0,,,,,,,,,,,,,,,,,36,,,
Wellington Rato,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_bPEXkEO.png,2.7,4.0,276.0,True,,1.0,,,,2.0,,,,,,1.0,,,,,,,36,,,
Gabriel,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_mbchRWW.png,0.0,5.0,262.0,True,,,,,,,,,,,,,,,,,,,36,,,
Julio Furch,https://s.sde.globo.com/media/person_role/2023/07/21/photo_FORMATO_fMrOLLy.png,6.6,5.0,277.0,True,,1.0,,,2.0,,,,,,,,,,,,1.0,,36,,,
Léo Pereira,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_Wclql1X.png,2.0,3.0,262.0,True,,1.0,,2.0,2.0,,,1.0,,,,,,,,,,,36,,,
Neris,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_U329TT2.png,2.0,3.0,283.0,True,,3.0,,2.0,,,,1.0,,,,,,,,,,,36,,,
Clayson,https://s.sde.globo.com/media/person_role/2023/06/30/photo_FORMATO_AACy2wU.png,1.0,5.0,1371.0,True,,,1.0,1.0,,1.0,,,,,,,,,,,,,36,,,
Tiquinho Soares,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_TbDAa67.png,12.0,5.0,263.0,True,,,4.0,2.0,1.0,3.0,,1.0,1.0,,,,,,,,,,36,,,
Jemerson,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_LiuUOj2.png,4.3,3.0,282.0,True,,1.0,,3.0,,,,1.0,,,1.0,,,,,,,,36,,,
Bruno Melo,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_FEUiEbp.png,1.2,3.0,290.0,True,,,,,1.0,,,,,,,,,,,,,,36,,,
Fernando Sobral,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_DOXZ9Xn.png,0.0,4.0,1371.0,True,,,,,,,,,,,,,,,,,,,36,,,
Robson,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_YXqWsS4.png,-1.6,5.0,294.0,True,,,,2.0,,,,1.0,,,,,,,,,,,36,,,
Rafael Ratão,https://s.sde.globo.com/media/person_role/2023/07/26/photo_FORMATO_q8xm0Ax.png,-1.3,5.0,265.0,True,,,,1.0,,,,1.0,,,,,,,,,,,36,,,
Marcos Felipe,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_kJmHr1X.png,4.2,1.0,265.0,True,,1.0,,,,,,,,,,,4.0,,1.0,,,,36,,,
João Paulo,https://s.sde.globo.com/media/person_role/2022/03/03/9edc82b201e12a2a0b8dba4d87004195_FORMATO.png,0.0,1.0,277.0,True,,,,,,,,,,,,,3.0,,3.0,,,,36,,,
Alê,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_HII8Evy.png,0.0,4.0,327.0,True,,,,,,,,,,,,,,,,,,,36,,,
Keno,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_RDEOJLs.png,3.8,5.0,266.0,True,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,36,,,
Tchê Tchê,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_FytIYxJ.png,-0.1,4.0,263.0,True,,,1.0,2.0,,,,,,,,,,,,,,,36,,,
Everton,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_EcaScZP.png,3.0,5.0,262.0,True,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,36,,,
José Welison,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_Sq4MDcU.png,2.2,4.0,356.0,True,,3.0,1.0,3.0,,,,1.0,,,,,,,,,,,36,,,
Marlon,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_hRhEq94.png,2.2,2.0,327.0,True,,1.0,2.0,,,,,,,,,,,,,,,,36,,,
Nathan,https://s.sde.globo.com/media/person_role/2023/04/12/photo_FORMATO_H5UIx66.png,0.6,4.0,284.0,True,,1.0,,2.0,,,,,,,,,,,,,,,36,,,
Guilherme Arana,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_6cBmo9F.png,7.5,2.0,282.0,True,,,4.0,1.0,,1.0,,,,,1.0,,,,,,,,36,,,
Carlos de Pena,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_8NTSnKt.png,-0.3,4.0,285.0,True,,,,1.0,,,,,,,,,,,,,,,36,,,
Soteldo,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_xCE9nv8.png,4.3,5.0,277.0,True,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,36,,,
Kannemann,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_q2fTOjY.png,0.3,3.0,284.0,True,,1.0,,3.0,,,,,,,,,,,,,,,36,,,
Messias,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_XWlumea.png,1.2,3.0,277.0,True,,1.0,,,,,,,,,,,,,,,,,36,,,
Thaciano,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_dQGg2S1.png,0.9,4.0,265.0,True,,,,1.0,1.0,,,,,,,,,,,,,,36,,,
Vitor Bueno,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_Vn5DBCR.png,1.1,4.0,293.0,True,,,,,1.0,,,,,,,1.0,,,,,,,36,,,
Yago Felipe,https://s.sde.globo.com/media/person_role/2023/03/10/photo_FORMATO.png,-1.4,4.0,265.0,True,,,1.0,3.0,,,,1.0,,,,,,,,,,,36,,,
Mauricio Lemos,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_oIj0aUq.png,7.0,3.0,282.0,True,,1.0,,,,1.0,,,,,1.0,,,,,,,,36,,,
Arrascaeta,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_CaSgg7s.png,3.3,4.0,262.0,True,,,4.0,1.0,,2.0,,,,,,,,,,,,,36,,,
Alan Empereur,https://s.sde.globo.com/media/person_role/2022/07/20/5db43ec8756f6951151160f78ec748cb_FORMATO.png,-0.6,3.0,1371.0,True,,,,2.0,,,,,,,,,,,,,,,36,,,
Ayrton Lucas,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_P9K1v1H.png,0.8,2.0,262.0,True,,,,,,1.0,,,,,,,,,,,,,36,,,
Marcelino Moreno,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_gNmfi9P.png,4.5,4.0,294.0,True,,,1.0,,,5.0,,,,,,,,,,,,,36,,,
Iago Maidana,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_CEXnMRV.png,0.0,3.0,327.0,True,,,,,,,,,,,,,,,,,,,36,,,
Gerson,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_UpueHtq.png,1.2,4.0,262.0,True,,1.0,,2.0,,2.0,,1.0,,,,,,,,,,,36,,,
William,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_mkEok8F.png,5.3,2.0,283.0,True,,4.0,2.0,1.0,,1.0,,1.0,,,,,,,,,,,36,,,
Igor Rabello,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_JxE36o1.png,6.2,3.0,282.0,True,,1.0,,,,,,,,,1.0,,,,,,,,36,,,
Thiago Maia,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_yDq9MVW.png,1.2,4.0,262.0,True,,1.0,,,,,,,,,,,,,,,,,36,,,
Cristaldo,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Sywtl9T.png,9.9,4.0,284.0,True,,1.0,2.0,1.0,,,,,1.0,,,,,,,,,,36,,,
Dodi,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_a0W192c.png,-0.1,4.0,277.0,True,,1.0,,1.0,,,,1.0,,,,,,,,,,,36,,,
Everton Galdino,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_TtRmr2d.png,0.0,5.0,284.0,True,,,,,,,,,,,,,,,,,,,36,,,
Mendoza,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_fdX9HMF.png,6.1,5.0,277.0,True,,4.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,36,,,
Bruno Pacheco,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_PYjs4Li.png,0.2,2.0,356.0,True,,,1.0,1.0,,,,,,,,,,,,,,,36,,,
Edu,https://s.sde.globo.com/media/person_role/2023/09/13/photo_FORMATO_o4zQHNu.png,9.3,5.0,294.0,True,,,1.0,,,1.0,,,1.0,,,,,,,,,,36,,,
Bruno Henrique,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PsLr2Kh.png,3.3,5.0,262.0,True,,1.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,36,,,
Jailson,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_borikKg.png,5.5,4.0,275.0,True,1.0,,,1.0,,1.0,,,,,,,,,,,,,36,,,
David,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_zc5jjjt.png,-0.3,5.0,276.0,True,,,,1.0,,,,,,,,,,,,,,,36,,,
Rezende,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_ZCpbjlh.png,3.0,4.0,265.0,True,,2.0,2.0,4.0,,1.0,,,,,,,,,,,,,36,,,
Fabrício Bruno,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_zrQ4flU.png,1.2,3.0,262.0,True,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,36,,,
PK,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_kfJYHxI.png,1.2,2.0,1371.0,True,,1.0,,,,,,,,,,,,,,,,,36,,,
Éder,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_ELJqlLk.png,-4.6,3.0,327.0,True,,,,2.0,,,,1.0,,,,,,,,,,,36,,1.0,
Carballo,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_NYg6Ymv.png,-0.4,4.0,284.0,True,,,,2.0,1.0,,,1.0,,,,,,,,,,,36,,,
Lucas Perri,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_83wBpb6.png,0.0,1.0,263.0,True,,,,,,,,,,,,,1.0,,1.0,,,,36,,,
Marcelo Fernandes,https://s.sde.globo.com/media/person_role/2021/04/27/7f50feb3c2bff8d96ced4bd8a038efad_220x220.png,4.29,6.0,277.0,True,,,,,,,,,,,,,,,,,,,36,,,
Arboleda,https://s.sde.globo.com/media/person_role/2022/03/01/a2548066433583acdc68badc1f1e35bf_FORMATO.png,4.7,3.0,276.0,True,,,,1.0,,,,,,,1.0,,,,,,,,36,,,
Rony,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_eJOedW8.png,0.4,5.0,275.0,True,,,1.0,,,,,,,,,1.0,,,,,,,36,,,
Adryelson,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_3WVFnva.png,0.5,3.0,263.0,True,,,1.0,,,,,,,,,,,,,,,,36,,,
Marlon,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO_vrVAWB7.png,4.0,2.0,283.0,True,,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,36,,,
Nino,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_U5c1E7V.png,5.5,3.0,266.0,True,,,1.0,,,,,,,,1.0,,,,,,,,36,,,
Pavón,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_U1jXQaU.png,5.0,5.0,282.0,True,1.0,,,,,,,,,,,,,,,,,,36,,,
Wesley Carvalho,https://s.sde.globo.com/media/person_role/2022/05/05/21d7b4d24237a06ec8872f1ff041e713_FORMATO.png,4.07,6.0,293.0,True,,,,,,,,,,,,,,,,,,,36,,,
Ramón Díaz,https://s.sde.globo.com/media/person_role/2023/07/15/photo_FORMATO.png,0.0,6.0,267.0,False,,,,,,,,,,,,,,,,,,,36,,,
Caíque,https://s.sde.globo.com/media/person_role/2023/08/04/photo_220x220_bq0AF4S.png,5.0,1.0,284.0,True,,,,,,,,,,,,,6.0,,1.0,,,,36,,,
Deyverson,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_AvLd8xm.png,0.9,5.0,1371.0,True,,,2.0,,,,,,,,,1.0,,,,,,,36,,,
Bruno Rodrigues,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_xfgmkoy.png,0.9,5.0,283.0,True,,,1.0,,3.0,1.0,,,,,,,,,,,,,36,,,1.0
Diogo Giacomini,https://s.sde.globo.com/media/person_role/2023/11/10/photo_FORMATO_KSlEt2O.png,1.33,6.0,327.0,True,,,,,,,,,,,,,,,,,,,36,,,
Wanderson,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_TAoUoam.png,6.1,5.0,285.0,True,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,36,,,
Benítez,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_AwXLo9s.png,0.2,4.0,327.0,True,,,1.0,1.0,,,,,,,,,,,,,,,36,,,
Gabriel Inocêncio,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_FQGuEEf.png,1.3,2.0,277.0,True,,,1.0,,,1.0,,,,,,,,,,,,,36,,,
Andrey,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_19c678V.png,-0.9,4.0,294.0,True,,,2.0,3.0,,,,1.0,,,,,,,,,,,36,,,
Marlon Freitas,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_vbqyTPv.png,0.8,4.0,263.0,True,,,,,,1.0,,,,,,,,,,,,,36,,,
Cleiton,https://s.sde.globo.com/media/person_role/2022/05/05/ec4a7cb649121dc08c2869bdcf6ef984_FORMATO.png,0.8,1.0,280.0,True,,,,,,1.0,,,,,,,2.0,,2.0,,,,36,,,
Breno Lopes,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_r2x2UOS.png,3.7,5.0,275.0,True,,2.0,1.0,,,1.0,,,,,,,,,,,,,36,,,
Guilherme,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_DlyxisL.png,4.0,5.0,356.0,True,,2.0,1.0,,1.0,,,,,,,1.0,,,,,,,36,,,
Raphael Veiga,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_l1kSIXt.png,3.2,4.0,275.0,True,,1.0,4.0,,,,,,,,,,,,,,,,36,,,
Pedro,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_BmbzG97.png,5.4,5.0,262.0,True,,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,36,,,
Eduardo Coudet,https://s.sde.globo.com/media/person_role/2023/07/19/photo_FORMATO.png,7.83,6.0,285.0,True,,,,,,,,,,,,,,1.0,,,,,36,,,
Lucas Fernandes,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_qLLBtiS.png,1.3,4.0,263.0,True,,,1.0,,,1.0,,,,,,,,,,,,,36,,,
Juninho Capixaba,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_VYzv5cy.png,3.1,2.0,280.0,True,,1.0,3.0,2.0,1.0,1.0,,1.0,,,,,,,,,,,36,,,
Raniele,https://s.sde.globo.com/media/person_role/2023/03/31/photo_220x220_j6biYTV.png,3.2,4.0,1371.0,True,,1.0,2.0,,1.0,1.0,,1.0,,,,,,,,,,,36,,,
Lucas Kal,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_mautx9E.png,0.9,4.0,327.0,True,,1.0,,1.0,,,,,,,,,,,,,,,36,,,
Artur,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_G1nE6cb.png,3.3,5.0,275.0,True,,,,1.0,1.0,3.0,,,,,,,,,,,,,36,,,
Machado,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_a0C7bdd.png,3.6,4.0,283.0,True,,1.0,,,2.0,,,,,,,,,,,,,,36,,,
Lima,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_bCG6s7k.png,1.7,4.0,266.0,True,,1.0,1.0,,,,,,,,,,,,,,,,36,,,
Matheus Pereira,https://s.sde.globo.com/media/person_role/2023/07/24/photo_FORMATO_MgA1agq.png,11.1,4.0,283.0,True,,,1.0,,,2.0,1.0,,1.0,,,,,,,,,,36,,,
Bustos,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_8fg8wbo.png,7.9,2.0,285.0,True,,2.0,,1.0,,1.0,,,,,1.0,,,,,,,,36,,,
Saravia,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_HmHq0Tu.png,6.7,2.0,282.0,True,,1.0,1.0,,,,,,,,1.0,,,,,,,,36,,,
Arthur Gomes,https://s.sde.globo.com/media/person_role/2023/07/15/photo_FORMATO_4DHfVWg.png,5.2,5.0,283.0,True,,,2.0,,1.0,,,,,,,,,,,,1.0,,36,,,
Yony González,https://s.sde.globo.com/media/person_role/2023/07/06/photo_FORMATO_YMuPeb5.png,0.0,5.0,266.0,True,,,,,,,,,,,,,,,,,,,36,,,
Villasanti,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_K2Ovl0l.png,5.6,4.0,284.0,True,,5.0,1.0,3.0,,,,,,,,,,,,,,,36,,,
Rogério Ceni,https://s.sde.globo.com/media/person_role/2022/03/01/e6fac1f227854170a80b2cf3234bfa1d_FORMATO.png,2.35,6.0,265.0,True,,,,,,,,,,,,,,,,,,,36,,,
Jori,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_ftqlpIg.png,5.0,1.0,327.0,True,,,,,,,,,,,,,9.0,,4.0,,,,36,,,
Murilo,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_gy90S45.png,8.2,3.0,275.0,True,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,36,,,
Reynaldo,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_va9qDnW.png,-0.3,3.0,294.0,True,,,,1.0,,,,,,,,,,,,,,,36,,,
Luís Oyama,https://s.sde.globo.com/media/person_role/2023/07/15/photo_FORMATO_GSUk6aP.png,3.4,4.0,290.0,True,,1.0,2.0,,1.0,,,,,,,,,,,,,,36,,,
Erick,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_dIxm87A.png,11.0,4.0,293.0,True,1.0,5.0,2.0,,,,,,,1.0,,,,,,,,,36,,,
Tiago Nunes,https://s.sde.globo.com/media/person_role/2021/04/27/70e7cf2c054ba954f48fe011e8e8284e_220x220.png,3.47,6.0,263.0,True,,,,,,,,,,,,,,,,,,,36,,,
Bastos,https://s.sde.globo.com/media/person_role/2023/08/29/photo_220x220.png,2.4,3.0,263.0,True,,2.0,,,,,,,,,,,,,,,,,36,,,
Kanu,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_BiEGphf.png,1.8,3.0,265.0,True,,2.0,2.0,2.0,,,,1.0,,,,,,,,,,,36,,,
Jean Lucas,https://s.sde.globo.com/media/person_role/2023/07/16/photo_FORMATO_l9ELyne.png,4.1,4.0,277.0,True,,1.0,1.0,,2.0,,,,,,,,,,,,,,36,,,
Kuscevic,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_8oUGttY.png,0.9,3.0,294.0,True,,2.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,36,,,
Cuello,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_xAXl7On.png,1.4,5.0,293.0,True,,1.0,1.0,1.0,,,,,,,,,,,,,,,36,,,
Lucas Braga,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jbahd9z.png,2.0,5.0,277.0,True,,,3.0,1.0,,1.0,,,,,,,,,,,,,36,,,
Rodrigo Fernández,https://s.sde.globo.com/media/person_role/2022/03/29/6fdde8730fb97a5d12a85b4ebd9d4e93_FORMATO.png,3.4,4.0,277.0,True,,4.0,,4.0,,1.0,,1.0,,,,,,,,,,,36,,,
Morelli,https://s.sde.globo.com/media/person_role/2023/04/03/photo_FORMATO_fZnSxrr.png,14.4,4.0,290.0,True,,2.0,3.0,1.0,1.0,2.0,,,1.0,,,,,,,,,,36,,,
Rossi,https://s.sde.globo.com/media/person_role/2023/07/07/photo_FORMATO_OdhLvyM.png,-1.0,1.0,262.0,True,,,,,,,,,,,,,2.0,,3.0,,,,36,,,
Arias,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_8Xam8ML.png,16.9,4.0,266.0,True,1.0,2.0,3.0,,,,,,1.0,,,,,,,,,,36,,,
Paulinho,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_6AtAEsy.png,14.2,5.0,282.0,True,1.0,1.0,,,,,,,1.0,,,,,,,,,,36,,,
,,,,,,,,,,,,,,,,,,,,,,,,36,,,
,,,,,,,,,,,,,,,,,,,,,,,,36,,,
,,,,,,,,,,,,,,,,,,,,,,,,36,,,
,,,,,,,,,,,,,,,,,,,,,,,,36,,,
,,,,,,,,,,,,,,,,,,,,,,,,36,,,
,,,,,,,,,,,,,,,,,,,,,,,,36,,,
,,,,,,,,,,,,,,,,,,,,,,,,36,,,
,,,,,,,,,,,,,,,,,,,,,,,,36,,,
,,,,,,,,,,,,,,,,,,,,,,,,36,,,
,,,,,,,,,,,,,,,,,,,,,,,,36,,,
,,,,,,,,,,,,,,,,,,,,,,,,36,,,
,,,,,,,,,,,,,,,,,,,,,,,,36,,,
,,,,,,,,,,,,,,,,,,,,,,,,36,,,
,,,,,,,,,,,,,,,,,,,,,,,,36,,,
,,,,,,,,,,,,,,,,,,,,,,,,36,,,
,,,,,,,,,,,,,,,,,,,,,,,,36,,,
,,,,,,,,,,,,,,,,,,,,,,,,36,,,
,,,,,,,,,,,,,,,,,,,,,,,,36,,,
,,,,,,,,,,,,,,,,,,,,,,,,36,,,
,,,,,,,,,,,,,,,,,,,,,,,,36,,,
,,,,,,,,,,,,,,,,,,,,,,,,36,,,
,,,,,,,,,,,,,,,,,,,,,,,,36,,,
