apelido,foto,pontuacao,posicao_id,clube_id,entrou_em_campo,A,DS,FS,FC,FD,FF,PS,CA,G,PC,SG,I,DE,V,GS,CV,FT,scout,rodada,DP,GC,PP
Luis Henrique,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_XMfC6C1.png,2.7,5.0,263.0,True,,2.0,1.0,,,,,,,,,2.0,,,,,,,38,,,
Bento,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7ROEp8B.png,0.0,1.0,293.0,True,,,,,,,,,,,,,3.0,,3.0,,,,38,,,
Matheus Bidu,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_cNTyg24.png,7.2,2.0,264.0,True,,1.0,2.0,,,,,,,,1.0,,,,,,,,38,,,
Rikelme,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_FfgJEdr.png,0.0,5.0,1371.0,True,,,,,,,,,,,,,,,,,,,38,,,
Lucero,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_MqRx953.png,12.3,5.0,356.0,True,,,3.0,2.0,3.0,,,,1.0,,,2.0,,,,,,,38,,,
Lucas Piton,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_71dywWV.png,1.2,2.0,267.0,True,,1.0,,,,,,,,,,,,,,,,,38,,,
Maurício,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_7KIwg4E.png,10.8,4.0,285.0,True,2.0,,,,,1.0,,,,,,,,,,,,,38,,,
Belezi,https://s.sde.globo.com/media/person_role/2023/10/08/photo_FORMATO.png,-0.8,3.0,293.0,True,,,1.0,1.0,,,,1.0,,,,,,,,,,,38,,,
Matheus Araújo,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_BedE425.png,7.9,4.0,264.0,True,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,38,,,
Zé Gabriel,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_PQUgcKV.png,0.0,4.0,267.0,True,,,,,,,,,,,,,,,,,,,38,,,
Rochet,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_AtGShUT.png,3.0,1.0,285.0,True,,,,,,,,,,,,,4.0,,1.0,,,,38,,,
Johnny,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_ylIGH1n.png,2.2,4.0,285.0,True,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,38,,,
Gabriel Pec,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_RHuy7TJ.png,2.1,5.0,267.0,True,,2.0,1.0,2.0,,1.0,,1.0,,,,,,,,,,,38,,,
Realpe,https://s.sde.globo.com/media/person_role/2022/05/05/593eafb7ce8c7aa2051ccde762f1d731_FORMATO.png,-2.7,3.0,280.0,True,,1.0,,3.0,,,,,,,,,,,,1.0,,,38,,,
Carlos Alberto,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_DgukYrK.png,1.4,5.0,263.0,True,,,1.0,1.0,1.0,,,,,,,,,,,,,,38,,,
Welington,https://s.sde.globo.com/media/person_role/2022/03/01/81ffdaa86a436b3f695649fc411cf06b_FORMATO.png,9.0,2.0,276.0,True,,3.0,2.0,2.0,,,,,,,1.0,,,,,,,,38,,,
